knowcode,description
153202,반도체공학 기술자 및 연구원
153203,전자계측제어기술자
153204,디스플레이연구및개발자
153301,전기·전자 공학 시험원
154101,석유화학공학기술자 및 연구원
154102,고무 및 플라스틱화학공학기술자 및 연구원
154103,도료 및 농약품화학공학기술자 및 연구원
154104,비누 및 화장품화학공학기술자 및 연구원
154105,의약품공학기술자 및 연구원
154201,화학공학 시험원
155102,태양광발전연구및개발자
155103,풍력발전연구및개발자
155106,원자력공학기술자
155203,에너지 시험원
155301,대기환경기술자
155302,수질환경기술자
155303,폐기물처리기술자
155304,환경영향 평가원
155305,소음진동 기술자 및 연구원
155306,토양 기술자 및 연구원
155401,환경시험원
155501,보건위생·환경 검사원
156101,섬유공학기술자
156201,섬유공학 시험원(섬유·염료)
157101,식품공학기술자 및 연구원
157201,식품공학 시험원
158201,소방공학 기술자 및 연구원
158401,산업안전원
158402,위험관리원
158501,비파괴 검사원
159103,3D 프린팅모델러
159104,제도사(캐드원)
211101,대학 교수
211201,대학 시간강사
212101,중·고등학교 교사
212201,초등학교 교사
212301,특수교육 교사
212901,보조교사
213001,유치원 교사
214101,문리학원강사
214102,외국어강사
214201,컴퓨터 강사
214301,기술·기능계 강사
214401,예능강사
214501,학습지·교육교구 방문 강사
215105,교재・교구 및 이러닝교육전문가
222001,"법률 사무원(법원, 로펌, 법무사무소 등)"
221101,판사
221102,검사
221201,변호사
221301,법무사 및 집행관
221401,변리사
231101,사회복지사
231201,심리상담 전문가
231301,청소년 지도사
231401,직업상담사
231501,사회단체활동가
232101,보육교사
232901,생활지도원
240101,경찰관
240102,해양경찰관
240201,소방관
240301,교도관
250201,위관급 장교
250301,부사관
301004,간호사
301101,내과의사
301102,외과의사
301103,성형외과의사
301104,산부인과의사
301105,이비인후과의사
301106,안과의사
301107,정신과의사
301108,소아과의사
301109,방사선과의사
301110,마취병리과의사
301111,비뇨기과의사
301112,피부과의사
301113,가정의학과의사
301201,일반 의사
301301,한의사
301401,치과 의사
302001,수의사
303001,약사
303002,한약사
304003,보건교사
305001,영양사
306101,임상병리사
306201,방사선사
306301,치과기공사
306401,치과위생사
306501,물리치료사
306502,작업치료사
306901,언어치료사
306902,청능사
306903,놀이치료사
306904,예술치료사
306601,임상심리사(심리치료사)
306701,재활공학 기사(의지보조기기사)
307101,응급구조사
307301,안경사
307401,보건의료정보관리사
307501,간호조무사
307601,안마사
411102,소설가
411103,영화시나리오작가
411104,방송작가
411201,번역가
411202,통역가
411301,출판물기획자
412001,신문기자
412002,방송기자
412003,잡지기자
413101,학예사(큐레이터)
413102,문화재보존원(컨서베이터)
413202,기록물 관리사(기록물관리전문요원)
414201,사진작가 및 사진사
414301,만화가
414303,만화영화 작가(애니메이터)
413201,사서
414101,화가
414102,조각가
414401,국악인
414501,지휘자
414502,작곡가
414503,연주가
414601,가수
414602,성악가
414701,무용가
414702,안무가
414703,대중무용수(백댄서)
415101,제품 디자이너
415201,의상 디자이너
415202,패션소품 디자이너(의상 제외)
415301,실내장식 디자이너(인테리어디자이너)
415404,시각디자이너
415501,웹 디자이너
415502,게임그래픽 디자이너
415503,영상그래픽 디자이너
415504,UX/UI 디자이너
416101,방송연출가
416102,영화감독
416103,연극연출가
416104,광고영상감독
416105,연극영화방송기술감독
416201,영화배우 및 탤런트
416202,모델
416203,연극 및 뮤지컬배우
416204,개그맨 및 코미디언
416205,성우
416301,아나운서
416302,리포터
417102,웹방송전문가(1인미디어콘텐츠제작자)
416401,촬영 기사
416501,음향·녹음 기사
416601,영상·녹화 및 편집 기사
416701,조명기사
417201,연예인매니저
420101,스포츠 감독 및 코치
420201,직업 운동선수
420202,프로게이머
420301,경기심판
420401,스포츠강사
420402,스포츠트레이너
420403,레크리에이션 전문가
511101,이용사
511201,미용사
511301,피부 및 체형 관리사(발관리사 포함)
511302,네일 아티스트(손톱 관리사)
511401,메이크업아티스트 및 뷰티매니저
511402,분장사
511501,반려동물 미용사
511502,"수의사 보조원(수의간호, 수의테크니션)"
512102,웨딩 플래너
512201,혼례 종사원
512301,장례 지도사 및 장례 상담원
521101,여행상품 개발자
521201,여행 사무원
521303,자연및문화해설사
521304,여행 안내원
522101,항공기 객실승무원
522201,선박객실승무원
522202,열차객실승무원
523001,오락시설 서비스원
524001,놀이시설종사원
531101,주방장
531201,한식 조리사(일반 음식점)
531301,중식 조리사
531401,양식 조리사
531501,일식 조리사
531601,바텐터(조주사)
531701,음료 조리사(바리스타 포함)
532101,패스트푸드 준비원
532201,홀서빙원
532301,주방 보조원(일반 음식점)
532401,음식 배달원
541101,경호원
541201,청원경찰
541301,시설·특수 경비원
542001,경비원(건물 관리원)
550101,요양간호사 및 간병인
550201,육아 도우미(베이비시터)
561101,청소원
561201,환경미화원 및 재활용품 수거원
561301,방역원(해충퇴치원 포함)
617101,홍보 도우미 및 판촉원(나레이터 모델 포함)
561501,세탁원(다림질원)
561601,가사 도우미
562101,계기 검침원 및 가스 점검원
562301,주차 관리·안내원
562401,검표원
611001,부동산중개인
612101,기술 영업원
612201,해외영업원
612301,자동차 영업원(자동차 딜러)
612401,제품광고영업원
612501,상품중개인 및 경매사
613001,텔레마케터
614001,소규모판매점장
615101,상점판매원
615203,통신 기기·서비스 판매원
615301,온라인 판매원
615401,상품대여원
615501,노점 및 이동 판매원
615601,방문 판매원
615701,주유원(주유판매원)
616101,계산원 및 매표원
616201,매표원 및 복권판매원
621101,항공기조종사
621102,헬리콥터조종사
621201,선장 및 항해사
621203,선박기관사
621301,철도·전동차 기관사
621401,항공교통관제사
621402,선박교통관제사
621403,철도교통관제사
621901,신호원 및 수송원
622101,택시 운전원
622201,버스 운전원
622304,화물차・특수차 운전원
623001,크레인 및 호이스트운전원
623002,지게차 운전원
624101,택배원
624201,우편물 집배원
624301,선박갑판원
624401,하역·적재 종사원
701101,철골공(강구조물 건립원)
701301,철근공
701401,콘크리트공
701501,건축 석공
701601,건축목공
701602,전통건축기능원
701701,조적원
702101,미장공
702201,방수공
702301,단열공
702401,타일·대리석 시공원
701201,"경량철골공(석고보드공,텍스공,조립주택 건립원)"
702501,도배공
702502,유리 부착원(유리공)
702601,건물 도장공
702701,새시 조립·설치원
703101,배관공
704001,건설 및 채굴기계운전원
705101,광원채석원및석재절단원
705201,철로 설치·보수원
705901,점화·발파·화약관리원
703201,"공업 배관공(플랜트,항공,선박,철도차량)"
705902,"잠수 기능원(잠수부, 구난 잠수요원)"
706001,건설·채굴 단순 종사원
811101,공업기계설치 및 정비원
811201,엘리베이터에스컬레이터설치및 정비원
811301,크레인 및 지게차 설치 및 정비원
811401,냉동·냉장·공조기 설치·정비원
811501,보일러 설치·정비원
811601,건설·광업용 기계 설치·정비원
811901,농업용 및 기타 기계장비 설치 및 정비원
812101,항공기 정비원(헬리콥터 제외)
812102,헬리콥터 정비원
812201,선박 정비원
812301,철도기관차·전동차 정비원
812401,자동차정비원
812901,오토바이정비원
812902,자전거 판매 및 정비원
813101,금형원
813201,금속공작기계조작원
814001,냉·난방 설비 조작원
815001,자동조립라인·산업용로봇 조작원
816103,일반기계조립원
817101,자동차 조립원
817201,자동차 부품 조립·검사원
817301,선박조립원
821201,금속가공 기계 조작원
822101,판금원(판금기조작원)
822301,제관원(제관기조작원)
823101,단조원(단조기조작원)
823301,주조원(주조기조작원)
824101,용접원(용접기조작원)
825101,도장원(도장기조작원)
825201,도금·금속분무기 조작원
826101,유리·유리제품 생산기계 조작원
826201,점토제품 생산기계 조작원
826301,시멘트·광물제품 생산기계 조작원
826401,광석·석제품 생산기계 조작원
831101,산업 전기공(항공기·선박·철도기관차·전동차 전기공)
831201,내선 전기공(건물 내 전기공사원)
831301,외선 전기공
832101,사무용 전자기기 설치·수리원(컴퓨터 제외)
832201,가전제품 설치·수리원
833001,발전·배전 장치 조작원
821101,금속가공 제어장치 조작원(용광로·용해로·금속가열로)
861101,"섬유 제조기계 조작원(방적,방사,연사,합사,권사기 등)"
834001,전기·전자 설비 조작원
835101,전기 부품·제품 생산기계 조작원
835201,전자 부품·제품 생산기계 조작원
836001,전기·전자 부품·제품 조립원
841101,컴퓨터 설치·수리원(컴퓨터A/S원)
841201,이동전화기 수리원
842101,방송장비 설치·수리원
842201,통신장비 설치·수리원
842301,방송·통신·인터넷 케이블 설치·수리원
851101,석유·천연가스 제조 제어장치 조작원
851201,화학물 가공장치 조작원
852101,타이어·고무제품 생산기계 조작원
852201,플라스틱제품 생산기계 조작원
852301,화학제품생산기조작원
852401,고무·플라스틱 제품 조립원
853101,상·하수도 처리장치 조작원
853201,재활용 처리장치·소각로 조작원
873101,육류·어패류·낙농품 가공기계 조작원
864201,신발 제조기계 조작원 및 조립원
861201,직조기 및 편직기 조작원
861301,표백·염색기 조작원
862101,패턴사
862201,재단사
862301,재봉사(의류·직물) 
863101,한복 제조원
863201,양장·양복 제조원
863401,의복·가죽·모피 수선원
864101,제화원
864301,세탁 기계 조작원
871101,제과·제빵원
871201,떡 제조원(한과 포함)
872101,정육원 및 도축원
872201,김치·밑반찬 제조 종사원
872301,식품·담배 등급원
873201,제분·도정 기계 조작원
873301,곡물 가공제품 기계 조작원
873401,과실·채소 기계 조작원
873501,음료 제조기계 조작원
881101,인쇄기계 조작원
882101,목재 가공기계 조작원
882201,펄프·종이 제조장치 조작원
882301,종이제품 생산기계 조작원
883101,가구 제조·수리원
883201,가구 조립원
884101,공예원
884201,귀금속·보석 세공원
885101,악기 제조원 및 조율사
885201,간판 제작·설치원
885902,포장원
901101,곡식작물 재배원
901201,채소·특용작물 재배원
881201,사진 인화·현상기 조작원(사전수정 포함)
2017,KNOW 직업코드
901301,과수작물 재배원
901401,육묘 및 화훼작물재배자
901501,조경원
902101,낙농 종사원
902201,가축 사육 종사원
903101,조림·산림경영인 및 벌목원
904101,양식원
904201,어부 및 해녀
1111,행정부고위공무원
1112,국회의원
1120,기업고위임원(CEO)
1210,재무관리자
1211,총무 및 인사관리자
1212,기획·홍보 및 광고관리자
1221,금융관리자
1222,보험관리자
1223,정부행정 관리자
1224,행정 및 경영지원 관련 서비스 관리자
1290,시장 및 여론조사관리자
1311,유치원원장 및 원감
1312,초등학교교장 및 교감
1313,중고등학교교장 및 교감
1314,대학교총장 및 대학학장
1320,연구관리자
1331,경찰관리자
1332,소방관리자
1333,교도관리자
1334,사회복지관련관리자
1341,보건의료관련관리자
1410,건설 및 광업관련 관리자
1430,정보통신관련관리자
1440,제품생산관련관리자
1510,운송관련관리자
1521,영업 및 판매관리자
1530,전기•가스 및 수도 관련 관리자
1531,환경·청소 및 경비관련관리자
1540,호텔관리자
1545,여행관련관리자
1550,레스토랑지배인
2111,노무사
2114,전직지원전문가
2120,경영컨설턴트
2126,창업컨설턴트 
2130,회계사
2150,세무사
2160,광고 및 홍보전문가
2161,소셜미디어전문가
2181,행사기획자
2182,회의기획자
2184,공연기획자
2191,관세사
2193,부동산감정전문가(감정평가사)
2194,보석감정사
2197,문화재감정평가사
2210,회계사무원
2220,경리사무원
2240,인사 및 노무사무원
2241,자재관리사무원
2242,생산관리사무원
2243,총무사무원
2244,교육 및 훈련사무원
2252,통계사무원
2253,마케팅사무원
2254,광고 및 홍보사무원
2255,경영기획사무원
2256,통계 및 설문조사원
2261,항공운송사무원
2262,철도운송사무원
2263,도로운송사무원
2264,수상운송사무원
2270,무역사무원
2281,행정공무원
2282,외교관
2284,정부정책기획전문가
2285,조세행정사무원
2286,관세행정사무원
2287,병무행정사무원
2289,법원공무원
2310,안내 및 접수사무원
2320,고객상담원
2325,상품기획자(MD)
2331,마케팅조사전문가
2332,사회조사전문가
2410,일반비서
2420,사무보조원
3111,투자분석가(애널리스트)
3120,금융자산운용가
3131,증권중개인
3140,보험계리사
3150,손해사정사(손해사정인)
3190,외환딜러
3195,보험인수심사원
3210,은행사무원
3211,금융상품개발원
3212,증권사무원
3213,개인간(P2P)대출전문가
3220,보험사무원
3230,출납창구사무원
3241,신용추심원
3310,보험대리인 및 중개인
3320,보험설계사
4111,인문계열교수
4112,사회계열교수
4113,자연계열교수
4114,공학계열교수
4115,교육계열교수
4116,의약계열교수
4117,예체능계열교수
4120,대학 시간강사
4130,장학사
4132,교육학연구원
4133,교재 및 교구개발자
4211,물리학연구원
4212,화학연구원
4215,수학 및 통계연구원
4217,지질학연구원
4221,생물학연구원
4224,수산학연구원
4225,식품학연구원
4226,농학연구원 및 기술자
4228,의학연구원
4229,약학연구원
4230,바이오에너지연구및개발자
4231,대학 교육조교
4311,철학연구원
4312,역사학연구원
4313,언어학연구원
4322,정치학연구원
4323,경제학연구원
4324,사회학연구원
4328,심리학연구원
4329,임학연구원 및 기술자
4399,인문사회연구조교(RA)
4410,자연과학시험원
4420,생명과학시험원
4512,국어교사
4513,수학교사
4514,사회교사
4515,과학교사
4516,진로진학상담교사
4517,실업교사
4518,외국어교사
4519,음악교사
4520,미술교사
4521,체육교사
4522,초등학교교사
4530,유치원교사
4540,특수학교교사
4611,디자인강사
4612,이미용강사
4535,농림어업관련 시험원
4615,제조분야 기술기능계 강사
4616,건설분야 기술기능계 강사
4621,외국어학원강사
4622,문리학원강사
4630,컴퓨터강사
4640,예능강사
4650,학습지 및 방문교사
4690,보조교사
5201,법률관련사무원(법무및특허사무원)
4691,방과후교사
5111,판사
5112,검사
5120,변호사
5130,법무사
5140,변리사
5202,민간조사원
5205,감사사무원
5310,경찰관
5315,사이버수사요원
5320,소방관
5331,교도관
5335,소년원학교교사
6111,내과의사
6112,외과의사
6113,성형외과의사
6114,산부인과의사
6115,이비인후과의사
6116,안과의사
6117,정신과의사
6118,소아과의사
6119,방사선과의사
6120,한의사
6121,마취병리과의사
6122,비뇨기과의사
6123,피부과의사
6124,가정의학과의사
6129,일반의사
6130,치과의사
6200,수의사
6300,약사
6400,간호사
6403,감염관리전문간호사
6404,호스피스전문간호사
6405,산업전문간호사
6406,가정전문간호사
6510,물리치료사
6520,임상심리사
6522,예술치료사
6591,언어재활사(언어치료사)
6592,작업치료사
6593,놀이치료사
6598,청능사(청능치료사)
6610,임상병리사
6620,방사선사
6630,치과위생사
6640,치과기공사
6650,의지보조기기사
6710,안경사
6711,안마사
6740,영양사
6750,의무기록사
7320,민속종교종사자(점술가·무당 등)
6760,응급구조사
6770,간호조무사
6780,간병인
6791,의료코디네이터
6792,의료관광코디네이터
7110,사회복지사
7111,정신보건사회복지사
7120,상담전문가
7125,청소년지도사
7130,직업상담사
7131,취업알선원
7140,사회단체활동가
7210,보육교사 및 보육사
7221,복지시설생활지도원
7311,목사
7313,신부
7315,승려
8111,시인
8112,소설가
8113,영화시나리오작가
8115,작사가
8116,방송작가
8118,게임시나리오작가
8120,번역가
8130,통역가
8141,출판물기획자
8150,출판물편집원
8151,속기사
8152,행정사
8211,학예사(큐레이터)
8220,사서
8221,기록물관리사
8300,잡지기자
8301,신문기자
8302,방송기자
8411,화가
8412,조각가
8421,지휘자
8422,작곡가
8423,연주가
8424,성악가
8430,가수
8441,무용가
8442,안무가
8443,대중무용수(백댄서)
8446,전통예능인
8452,사진작가
8460,국악인
8471,만화가
8472,애니메이터
8511,가구디자이너
8512,자동차디자이너
8561,건축 및 토목제도사(캐드원)
8562,프린팅운영전문가
8513,주얼리디자이너
8514,팬시 및 완구디자이너
8515,가방디자이너
8516,신발디자이너
8520,패션디자이너
8530,인테리어디자이너
8531,디스플레이어
8541,광고디자이너
8544,포장디자이너
8551,웹디자이너
8552,게임그래픽디자이너
8554,컬러리스트
8555,플로리스트
8556,영상그래픽디자이너
8560,제도사(캐드원)
8611,영화감독
8612,방송연출가
8613,연극연출가
8614,광고제작감독(CF감독)
8615,웹방송전문가
8616,음반기획자
8622,성우
8623,모델
8624,연극 및 뮤지컬배우
8625,영화배우 및 탤런트
8626,개그맨 및 코미디언
8628,보조출연자
8631,아나운서
8632,쇼핑호스트
8634,리포터
8635,기상캐스터
8639,해설(논설) 위원
8641,웹기획자
8643,애니메이션기획자
8710,연극·영화 및 방송기술감독
8720,촬영기사
8730,음향 및 녹음기사(감독)
8740,영상·녹화 및 편집기사(감독)
8750,조명기사
8792,무대 및 세트디자이너
8810,연예인매니저
8821,동물조련사
8891,마술사
8894,분장사
9111,선장 및 항해사
9112,도선사
9113,선박기관사
9115,전기감리기술자
9121,항공기조종사
9122,헬리콥터조종사
9123,드론(무인항공기)조종사
9130,항공교통관제사
9131,선박교통관제사
9135,철도교통관제사
9210,철도 및 전동차기관사
9220,신호원 및 수송원
9310,택시운전원
9320,버스운전원
9330,소형트럭운전원
9341,대형트럭운전원
9342,특수차운전원
9391,자가용운전원
9420,지게차운전원
9510,선박갑판원
9511,선박기관원
9410,크레인 및 호이스트운전원
9591,하역 및 적재단순종사원
9592,택배원
10111,산업용기계장비기술영업원
10114,의료장비기술영업원
10115,농업용기계장비기술영업원
10116,자동차부품기술영업원
10120,자동차영업원
10130,해외영업원
10141,의약품영업원
10151,상품중개인 및 경매사
10200,부동산중개인
10320,상점판매원
10325,통신서비스판매원
10329,소규모판매점장
10330,텔레마케터(전화통신판매원)
10340,상품대여원
10350,온라인쇼핑판매원(인터넷판매원)
10410,방문판매원
10420,노점 및 이동판매원
10421,매표원 및 복권판매원
10430,매장정리원
10440,주유원
10450,매장계산원
10460,홍보도우미 및 판촉원
11110,청원경찰
11120,기계특수경비원(무인경비원)
11130,건물시설관리원
11141,경호원
11142,경비원
11143,주택관리사
11144,주택임대관리사
11210,청소원
11221,가사도우미
11222,육아도우미(베이비시터)
11230,구두미화원
11241,해충방제전문가
11320,주차관리원 및 안내원
11331,검표원
12151,반려동물 미용 및 관리종사원(애완동물미용사)
12111,이용사
12112,미용사
12130,피부관리사
12140,메이크업아티스트
12141,네일아티스트
12210,결혼상담원
12211,웨딩플래너
12220,혼례종사원
12230,장례지도사
12325,여행사무원
12330,여행안내원
12335,관광통역안내원
12336,자연환경안내원
12340,항공기객실승무원
12351,선박객실승무원
12352,열차객실승무원
12400,세탁원
12500,숙박시설서비스원
12501,바둑기사
12502,프로게이머
12504,골프장캐디
12505,놀이시설종사원
12610,경기감독 및 코치
12611,스포츠트레이너
12631,경기심판
12640,스포츠강사
12641,레크레이션강사
12692,스포츠에이전트
12720,직업운동선수
13111,한식조리사
13121,중식조리사
13131,양식조리사
13141,일식조리사
13191,바리스타
13200,바텐더(조주사)
13210,패스트푸드원
13230,주방보조원
13240,음식배달원
13310,웨이터 및 웨이트리스
14112,건축구조설계기술자
14113,건축구조기술자
14114,건축시공기술자
14115,건축감리기술자
14116,건축설비기술자
14121,토목안전환경기술자
14122,토목구조설계기술자
14123,토목시공기술자
14127,토목감리기술자
14130,조경기술자
14140,도시계획 및 설계가
14141,교통계획 및 설계가
14150,지적 및 측량 기술자
14650,바닥재시공원(마루설치원·타일부착원)
14160,건설자재시험원
14170,건설견적원(적산원)
14310,철근공
14320,철골공
14330,경량철골공
14341,콘크리트공
14410,건축석공
14420,조적원
14500,건축목공
14610,미장공
14620,방수공
14630,배관공
14631,공업배관공
14640,단열공(보온공)
14660,유리부착원
14670,도배공
14680,건물도장공
14692,잠수 및 수중기능원
14700,건설 및 채굴기계운전원
14701,건설 및 광업 단순 종사원
14810,광원·채석원 및 석재절단원
14820,점화·발파 및 화약관리원
14830,철로설치 및 보수원
15102,건설기계공학기술자
15104,냉난방 및 공조공학기술자
15107,로봇공학기술자
15108,지열시스템연구및개발자
15110,기계시험원
15210,공업기계설치 및 정비원
15220,엘리베이터·에스컬레이터설치 및 정비원
15230,냉동·냉장·공조기설치 및 정비원
15231,물품이동장비설치및정비원
15240,보일러설치 및 정비원
15250,건설 및 광업기계설치 및 정비원
15260,농업용 기계 정비원
15310,철도기관차 및 전동차정비원
15311,오토바이정비원
15315,헬리콥터정비원
15320,항공기정비원
15330,선박정비원
15400,자동차정비원
15401,자동차튜닝원
15510,금형원
15530,금속공작기계조작원
15600,냉난방관련설비조작원
15700,자동조립라인 및 산업용로봇조작원
15810,자동차 조립원
15820,선박조립원
15825,자동차 부분품 조립원
15830,일반기계조립원
16102,금속공학기술자
16103,나노공학기술자
16111,금속재료공학시험원
16210,판금원
16220,제관원
16230,샷시원
16300,단조원
16400,주조원
16500,용접원
16610,도장기조작원
16620,도금 및 금속분무기조작원
16710,금속가공 관련제어장치조작원
16720,금속가공관련조작원
16721,공구제조원(치공구포함)
16810,비금속광물가공관련 제어장치조작원
16820,유리제조 및 가공기조작원
16830,점토제품생산기조작원
16840,시멘트 및 광물제품제조기조작원
16850,광석 및 석제품가공기 조작원
16891,비금속광물가공관련조작원
17101,석유화학공학기술자
17102,도료 및 농약품화학공학기술자
17103,비누 및 화장품화학공학기술자
17104,고무 및 플라스틱화학공학기술자
17107,연료전지개발및연구자
17111,화학공학시험원
17210,석유 및 천연가스제조관련제어장치조작원
17221,화학물가공장치조작원
17230,화학제품생산기조작원
17241,플라스틱제품생산기조작원
17242,고무 및 플라스틱제품 조립원
17250,타이어 및 고무제품생산기조작원
18100,섬유공학기술자
18120,섬유 및 염료 시험원
18130,식품시험원
18200,섬유제조기계조작원
18310,직조기 및 편직기조작원
18320,표백 및 염색관련조작원
18330,섬유관련등급원 및 검사원
18410,재봉사
18420,재단사
18430,한복제조원
18440,양장 및 양복제조원
18450,의복·가죽 및 모피수선원
18460,패턴사
18491,모피 및 가죽의복제조원
18492,의복제품검사원
18610,제화원
18620,신발제조기조작원 및 조립원
18630,세탁관련 기계조작원
19111,반도체공학기술자
19112,전자계측제어기술자
19113,전자제품개발기술자
19611,전기부품 및 제품제조기계조작원
19621,전자부품 및 제품제조기계조작원
19710,전기·전자제품 및 부품조립 및 검사원
19115,태양열연구및개발자
19121,송배전설비기술자
19122,전기제품개발기술자
19123,전기계측제어기술자
19124,발전설비기술자
19125,전기안전기술자
19129,태양광발전연구및개발자
19130,풍력발전연구및개발자
19131,전기 및 전자 시험원
19210,내선전공
19220,외선전공
19230,산업전공
19311,컴퓨터하드웨어기술자
19313,컴퓨터설치 및 수리원
19314,사무기기설치 및 수리원
19320,가전제품 설치 및 수리원
19400,발전장치조작원
19500,전기 및 전자설비조작원
20121,통신기기장비기술자
20122,통신망운영기술자
20125,통신기술개발자
20215,컴퓨터시스템설계분석가
20220,시스템소프트웨어개발자
20231,응용소프트웨어개발자
20234,가상(증강)현실전문가
20236,게임프로그래머
20238,모바일앱개발자
20239,게임품질관리전문가
20241,빅데이터전문가
20251,네트워크관리자
20252,네트워크엔지니어
20272,웹프로그래머
20274,웹마스터
20281,정보시스템운영자
20283,통신장비기사
20284,방송송출장비기사
20240,데이터전문가(데이터베이스개발자)
20260,정보보안전문가(컴퓨터보안전문가)
20292,컴퓨터시스템감리전문가
20296,기술지원전문가
20297,정보통신컨설턴트
20310,영상 및 관련장비설치 및 수리원
20320,통신 및 관련장비설치 및 수리원
20325,네트워크프로그래머
20330,통신·방송 및 인터넷케이블설치 및 수리원
20420,우편물집배원
21111,식품공학기술자
21210,제빵원 및 제과원
21220,떡제조원
21230,육류·어패류 및 낙농품가공기계조작원
21240,제분 및 도정관련기계조작원
21251,곡물가공제품기계조작원
21260,과실 및 채소관련기계조작원
21270,음료제조관련기계조작원
21280,담배제조관련조작원
21291,식품 및 담배등급원
21310,정육원 및 도축원
21320,김치 및 밑반찬 제조종사원
22111,수질환경기술자
22112,대기환경기술자
22113,폐기물처리기술자
22114,소음진동기술자
22120,보건위생 및 환경검사원
22125,환경시험원
22211,품질관리사무원
22220,비파괴검사원
