idx,saq1_1,saq1_2,saq2_1,saq2_2,saq3_1,saq3_2,saq4_1,saq4_2,saq5_1,saq5_2,saq6_1,saq6_2,saq7_1,saq7_2,saq8_1,saq8_2,saq9_1,saq9_2,saq10_1,saq10_2,saq11_1,saq11_2,saq12_1,saq12_2,saq13_1,saq13_2,saq14_1,saq14_2,saq15_1,saq15_2,saq16_1,saq16_2,saq17_1,saq17_2,saq18_1,saq18_2,saq19_1,saq19_2,saq20_1,saq20_2,saq21_1,saq21_2,saq22_1,saq22_2,saq23_1,saq23_2,saq24_1,saq24_2,saq25_1,saq25_2,saq26_1,saq26_2,saq27_1,saq27_2,saq28_1,saq28_2,saq29_1,saq29_2,saq30_1,saq30_2,saq31_1,saq31_2,saq32_1,saq32_2,saq33_1,saq33_2,saq34_1,saq34_2,saq35_1,saq35_2,saq36_1,saq36_2,saq37_1,saq37_2,saq38_1,saq38_2,saq39_1,saq39_2,saq40_1,saq40_2,saq41_1,saq41_2,saq42_1,saq42_2,saq43_1,saq43_2,saq44_1,saq44_2,vq1,vq2,vq3,vq4,vq5,vq6,vq7,vq8,vq9,vq10,vq11,vq12,vq13,bq1,bq2,bq3,bq4,bq5,bq5_1,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13_1,bq13_2,bq13_3,bq14_1,bq14_2,bq14_3,bq14_4,bq14_5,bq14_6,bq14_7,bq15,bq16_1,bq16_2,bq16_3,bq16_4,bq16_5,bq16_6,bq16_7,bq16_8,bq16_9,bq16_10,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq18_8,bq18_9,bq19,bq20,bq21_1,bq21_2,bq21_3,bq21_4,bq22_1,bq22_2,bq22_3,bq22_4,bq22_5,bq22_6,bq23_1,bq23_2,bq23_3,bq24,bq25,bq26,bq27_1,bq27_2,bq28,bq29,bq30_1,bq30_2,bq30_3,knowcode,text_response,major
27137,4,3,3,3,3,2,4,4,1,0,3,5,3,3,2,2,4,3,3,3,3,3,2,2,3,3,4,5,4,3,3,3,4,4,4,3,3,3,4,4,3,3,4,4,5,3,4,3,3,5,4,3,2,1,2,2,2,2,2,2,2,1,3,2,2,1,3,3,3,3,2,1,2,2,4,5,2,2,4,3,3,3,2,2,4,4,2,1,3,4,4,3,3,3,3,4,4,2,3,3,4,19,1,1,1,1,6,5,2,3,3,3,4,4,3,4,9,9,9,4,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,3,3,2,2,2,6,6,6,5,6,6,6,5,4,2,52,2,1,3,2,40,1900,1700,0,511201,미용사 미용 실무 헤어 유행 관심 고용 안정,인문계
27138,4,4,4,5,4,4,4,4,4,5,4,5,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,5,4,5,4,5,4,3,4,4,4,4,3,4,3,3,4,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,3,1,0,3,4,3,3,3,3,3,3,2,3,3,3,1,0,4,5,4,5,4,3,4,4,4,4,4,4,4,4,3,3,3,15,2,3,1,2,0,4,5,3,3,3,3,4,3,3,3,3,4,3,4,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,7,7,7,6,7,7,3,4,3,1,30,4,1,1,1,40,3200,2800,0,140503,교통산업기사 변화,지상교통학
27139,3,3,2,3,2,3,2,3,2,3,2,3,2,4,2,2,3,3,1,0,2,3,3,4,2,2,2,3,2,3,2,3,2,2,2,3,2,3,3,3,3,4,2,3,2,2,3,3,2,2,3,4,2,3,2,3,2,4,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,4,2,2,2,5,3,3,2,3,3,3,3,3,4,2,4,3,2,3,3,2,3,18,1,1,1,1,1,5,3,4,3,3,4,3,2,3,3,3,4,4,2,4,4,4,3,2,2,1,3,3,3,4,3,4,2,2,3,4,3,3,3,4,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,9,8,8,7,2,1,2,3,8,2,34,3,1,1,1,60,4000,2000,0,511201,헤어미용사자격증 손님응대 미용 전문학교 정도 유입 인원 증가,전문대 미용학
27140,1,0,2,2,1,0,2,2,1,0,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,2,2,3,3,4,2,2,3,1,4,3,1,1,2,2,18,4,1,2,1,4,4,2,4,5,5,4,5,3,3,2,2,5,3,2,4,5,3,3,3,4,5,2,5,3,5,5,5,5,5,4,5,4,4,5,4,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,8,8,9,3,9,9,8,9,9,2,26,3,1,4,2,14,2400,1100,0,416202,워킹 예술 활동 대한 영역 점점,모델학
27141,3,3,2,4,2,3,2,3,3,3,2,3,3,3,2,4,2,3,2,4,2,3,2,3,3,3,2,4,3,4,4,4,3,3,3,4,4,4,3,4,2,4,4,4,3,3,3,4,4,4,3,5,3,4,4,4,4,4,3,4,4,4,3,3,4,4,4,5,3,3,4,4,4,5,3,5,4,5,4,4,4,5,3,4,4,4,3,5,3,4,4,3,3,4,4,3,4,3,3,4,4,18,1,2,1,1,4,3,2,4,3,3,3,4,3,4,5,4,4,3,4,4,3,3,4,5,4,4,3,3,3,4,3,2,3,4,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,8,7,7,6,6,7,7,6,7,1,35,2,1,3,2,30,3000,2500,0,420402,스포츠 운동 건강 관심,상고
27142,3,4,3,4,3,3,3,4,2,2,2,2,3,4,2,3,2,3,2,2,2,2,2,3,3,3,3,3,4,5,3,4,4,4,3,3,3,3,5,6,4,5,3,4,3,3,3,4,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,4,4,4,5,3,3,3,4,3,4,3,4,3,4,3,3,4,17,1,2,1,1,4,7,2,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,4,5,4,4,4,4,4,5,4,4,5,4,4,5,4,4,4,2,2,2,2,2,2,2,2,2,1,3,3,3,3,2,9,8,8,3,2,2,7,3,6,2,26,2,1,1,1,48,2400,2000,0,307501,간호조무사 자격증 보수교육 병원 항상,인문계
27143,1,0,1,0,1,0,3,4,3,4,3,4,1,0,1,0,1,0,1,0,2,2,2,2,2,2,1,0,1,0,2,2,2,2,2,2,3,4,3,4,3,4,2,2,2,2,1,0,3,4,3,4,3,4,4,5,4,5,4,5,2,2,1,0,1,0,3,4,4,5,3,4,1,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,3,4,4,3,3,4,3,3,2,3,4,3,3,14,1,2,1,2,0,4,3,3,4,3,4,3,3,4,3,4,3,3,2,3,2,2,3,3,3,4,2,3,3,2,3,3,4,3,4,3,2,3,3,4,2,2,2,2,2,2,2,2,2,1,4,3,3,3,2,6,7,4,5,3,3,8,7,7,1,36,2,1,1,1,40,3600,2800,0,811401,공조냉동 에어컨 수요 증가,이과
27144,4,5,4,5,3,3,4,5,3,3,2,5,3,4,3,4,4,4,2,3,2,3,3,4,3,4,4,4,3,4,3,4,4,5,3,4,3,4,4,4,3,4,4,5,4,5,2,4,3,3,2,3,2,2,2,2,2,2,2,2,3,4,1,0,1,0,1,0,3,3,3,3,2,3,2,3,2,3,3,4,3,4,3,4,3,4,4,5,4,4,2,2,3,3,2,3,2,3,3,2,2,16,5,2,1,1,4,3,4,3,2,3,2,1,1,1,2,1,3,2,3,2,3,3,3,2,3,4,3,3,4,4,4,3,4,3,4,4,3,5,4,4,2,2,2,2,2,2,2,2,2,1,3,1,1,2,1,3,3,5,6,3,8,4,5,8,2,29,3,1,1,1,40,2700,2200,0,213001,보육교사자격증 정교사2급 아이들을 사랑하는 방식 계속 때문 보육 시설,유아교육
27145,3,4,3,4,3,4,3,4,3,5,3,4,3,4,3,4,3,4,4,5,3,4,3,4,3,4,3,4,3,4,4,5,3,4,3,4,4,5,3,4,3,4,3,4,3,4,3,4,4,5,4,5,3,4,3,4,3,4,1,0,3,3,2,3,2,3,2,3,1,0,3,4,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,15,2,5,2,1,5,5,4,2,3,3,5,4,4,3,3,3,3,3,2,4,4,3,4,3,3,3,3,3,4,3,3,4,4,3,3,3,4,3,4,4,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,4,7,6,6,5,4,3,7,7,1,38,3,1,1,1,45,4000,2000,0,140503,도시계획서 작성요령 경기 회복,교통시스템
27146,3,4,3,4,2,2,3,5,2,3,1,0,1,0,2,2,3,4,2,2,1,0,2,3,3,3,1,0,3,4,2,3,3,4,1,0,3,5,2,2,3,5,3,4,2,4,1,0,1,0,1,0,2,2,1,0,2,3,3,3,1,0,5,5,3,4,3,4,3,5,3,5,1,0,4,4,3,3,3,4,3,4,1,0,3,4,2,3,5,3,2,4,5,2,2,2,3,1,2,4,4,3,1,4,2,2,0,1,2,2,2,2,4,2,2,3,3,2,4,3,2,4,3,5,3,2,4,1,5,1,4,5,3,2,1,1,2,5,2,2,4,5,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,8,6,4,2,3,4,4,3,4,1,47,2,1,1,1,44,4500,2300,0,817201,자동차 부품 수요 변화,기계
27147,3,3,3,4,3,3,3,4,3,3,1,0,1,0,3,3,4,3,1,0,2,3,3,4,1,0,1,0,4,5,3,3,4,4,1,0,1,0,5,6,4,2,1,0,5,3,1,0,4,4,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,3,3,4,3,3,2,3,2,4,2,2,4,2,1,3,4,7,4,1,2,2,0,7,2,3,2,2,3,3,4,3,9,9,9,3,4,2,1,4,3,3,3,2,4,4,4,4,3,2,2,2,2,4,4,3,4,4,2,2,2,2,2,2,2,2,2,1,3,3,3,3,2,8,6,6,4,2,1,7,3,3,2,29,2,2,6,1,45,0,0,2500,615401,전반 경기 불황 변화,인문계
27148,3,5,4,5,2,2,5,6,4,6,4,6,1,0,3,5,3,4,1,0,2,2,3,4,3,4,3,4,1,0,1,0,2,3,4,5,2,3,4,6,4,5,5,6,4,5,5,6,1,0,1,0,3,4,1,0,1,0,1,0,4,6,1,0,1,0,1,0,1,0,1,0,3,4,1,0,1,0,2,3,1,0,1,0,3,4,3,4,4,3,4,4,5,4,3,4,3,4,4,3,3,11,1,2,1,2,0,4,5,3,4,4,4,4,3,3,3,4,5,4,1,4,3,3,2,3,4,3,5,5,3,5,4,5,3,4,5,5,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3,3,2,3,2,7,8,3,3,5,3,2,7,8,1,36,4,1,1,1,40,8000,3000,0,32201,증권투자상담사 인터넷 모바일 테크 상품 증가 일자리 크게 변동,수학
27149,4,5,5,6,3,4,5,7,4,4,2,4,4,5,5,6,4,5,1,0,4,5,5,7,5,7,4,5,3,4,4,5,4,6,3,5,5,6,1,0,4,5,4,5,3,4,1,0,5,7,5,7,5,7,5,7,4,6,5,6,5,7,1,0,5,7,5,7,4,6,5,7,3,4,4,5,5,7,1,0,1,0,1,0,4,5,4,5,3,4,2,3,4,3,4,4,3,3,4,4,5,18,1,1,1,2,0,6,5,4,3,4,4,4,4,3,4,4,5,4,4,3,3,4,4,4,4,4,3,3,4,4,5,4,3,4,5,4,5,3,4,3,2,2,2,2,2,2,2,2,2,1,3,2,2,2,1,8,1,2,9,1,8,9,8,2,2,52,4,1,1,1,42,7000,5500,0,13601,사서 기계로,문헌정보학
27150,4,6,4,6,4,6,4,6,4,6,4,6,4,5,5,6,4,6,4,5,4,6,4,6,4,6,4,6,4,6,4,6,4,6,4,6,4,6,5,6,4,6,4,6,4,6,4,6,4,6,4,6,4,6,3,4,3,4,3,4,4,6,4,6,2,2,1,0,1,0,1,0,4,6,2,2,2,2,2,2,1,0,2,2,3,4,2,2,5,4,5,4,4,5,4,4,3,3,4,4,4,18,1,3,2,2,0,3,5,3,2,3,3,3,4,4,3,3,4,4,3,3,3,4,3,3,4,3,3,3,3,3,3,4,3,4,3,4,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,5,5,5,6,6,6,6,6,6,1,45,4,1,1,1,50,6500,3000,0,521101,경기 침체 일자리 감소,영문학
27151,1,0,2,3,1,0,3,4,1,0,1,0,1,0,2,2,3,3,2,2,1,0,1,0,1,0,1,0,3,3,3,3,2,3,1,0,1,0,2,3,1,0,2,2,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,2,4,4,4,4,2,2,4,2,1,2,1,1,2,1,18,4,1,2,1,3,3,2,4,3,4,3,4,4,3,4,3,4,4,3,5,5,2,3,3,3,3,2,5,3,3,4,4,3,3,3,3,3,4,5,4,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,7,9,8,4,8,8,7,7,6,2,25,4,1,4,2,10,1800,1100,0,416202,워킹 연기 환경 조건,현대무용
27152,1,0,1,0,1,0,1,0,1,0,3,4,1,0,3,4,2,1,3,3,1,0,3,3,4,4,1,0,1,0,1,0,2,3,1,0,3,2,3,3,2,4,3,3,4,4,3,3,2,3,3,3,4,5,4,4,3,4,3,4,2,2,3,3,2,4,4,4,5,6,3,3,3,2,2,3,3,3,4,6,4,5,3,3,3,3,3,4,2,4,4,2,3,2,4,2,2,2,4,2,2,6,1,2,2,2,0,7,4,3,3,3,4,3,3,4,3,3,3,3,2,2,4,3,3,2,2,2,2,4,3,3,3,3,2,3,3,4,4,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,4,4,4,4,4,6,5,5,5,1,42,4,1,1,1,40,3800,3500,0,811401,작업 과정,전기
27153,1,0,2,3,1,0,3,3,2,2,1,0,1,0,3,3,2,2,1,0,1,0,1,0,2,2,1,0,3,3,2,3,1,0,1,0,1,0,5,3,1,0,1,0,2,3,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,0,1,0,2,3,1,0,1,0,1,0,1,0,4,3,3,3,3,3,2,2,2,2,3,3,2,2,1,3,2,1,1,1,1,2,3,1,1,1,2,7,4,2,2,2,0,7,1,1,1,1,3,2,3,3,3,3,4,3,4,1,2,2,2,3,3,3,4,4,2,4,4,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,2,2,2,4,1,3,3,3,2,8,6,7,7,7,6,7,6,7,1,34,2,1,4,1,40,2400,1900,0,615701,전기차 수소차 생산,공고
27154,4,5,3,4,2,3,4,5,1,0,3,4,1,0,3,4,3,4,1,0,3,4,3,4,4,5,3,4,4,5,4,5,4,5,3,4,3,4,4,5,4,5,3,4,4,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,2,2,1,0,2,2,1,0,1,0,1,0,1,0,3,3,3,4,4,3,4,2,4,2,2,3,2,4,3,19,1,2,1,1,3,1,5,3,4,4,4,3,3,4,3,3,4,4,3,4,3,3,4,3,3,2,3,3,4,3,4,4,3,3,3,4,3,2,3,4,2,2,2,2,2,2,2,2,2,1,4,2,2,2,2,3,3,3,2,2,2,3,3,3,2,30,4,1,1,1,40,3000,2300,0,29904,직업상담사 자원봉사활동 취업,사회복지학
27155,3,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,3,3,2,2,1,0,3,3,2,3,2,3,3,3,3,3,3,4,3,4,3,3,4,5,4,4,4,4,3,3,2,3,2,2,3,3,2,2,3,3,3,3,2,2,2,2,3,3,2,3,3,3,4,4,4,4,3,3,4,3,3,3,4,4,5,5,3,4,3,3,3,3,4,4,4,4,3,2,4,2,3,2,3,4,4,1,4,1,2,2,0,6,1,4,4,3,4,4,4,3,9,9,9,3,4,4,4,4,4,4,4,1,3,3,2,4,3,4,3,2,4,4,4,3,4,4,2,2,2,2,2,2,2,2,2,1,2,3,3,2,2,2,3,4,3,3,6,6,4,6,1,72,2,2,6,1,50,0,0,2000,901201,인구 감소 소비,이과
27156,3,4,3,4,3,3,3,4,3,4,3,3,3,4,3,4,2,3,2,2,2,3,2,3,3,4,4,5,3,4,3,3,3,4,3,4,2,3,4,5,4,5,4,5,3,4,3,3,4,5,3,4,4,6,5,6,4,6,5,6,2,2,4,6,5,6,5,6,5,6,5,6,2,3,4,6,4,6,4,6,4,6,4,6,4,6,4,6,5,4,4,3,4,2,4,2,3,3,4,3,4,4,1,1,1,2,0,3,2,4,2,2,4,3,3,3,9,9,3,3,2,4,4,4,4,5,4,3,4,4,2,4,4,5,4,4,5,4,4,4,4,5,1,2,1,1,1,1,2,2,2,1,4,3,3,3,2,9,8,2,2,3,2,8,2,2,1,54,2,2,5,1,40,0,0,5000,811501,공조냉동기계 기능사 가스안전관리사 에너지산업관리기사 보일러 기능 향상 기계 장비 항상 연구 주거 보일러 불가분 관계 항상 사람,기계설비
27157,2,1,3,4,1,0,3,4,3,3,2,2,1,0,3,4,3,4,3,4,1,0,3,4,3,4,1,0,4,5,4,4,2,3,2,3,2,4,4,5,4,5,3,4,4,6,2,3,2,3,3,4,1,0,2,3,4,5,4,4,1,0,3,5,3,4,4,6,4,5,4,5,1,0,2,1,4,4,4,5,4,5,3,4,3,4,4,4,3,3,4,2,2,4,2,3,4,2,3,1,3,19,1,1,2,2,0,2,3,3,3,4,4,4,4,3,3,4,3,4,3,3,3,4,3,3,4,3,3,3,4,3,4,3,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,5,6,6,6,5,4,5,4,4,1,38,2,1,1,1,25,2500,2200,0,615701,셀프 주유소 증가,인문
