idx,aq1_1,aq1_2,aq2_1,aq2_2,aq3_1,aq3_2,aq4_1,aq4_2,aq5_1,aq5_2,aq6_1,aq6_2,aq7_1,aq7_2,aq8_1,aq8_2,aq9_1,aq9_2,aq10_1,aq10_2,aq11_1,aq11_2,aq12_1,aq12_2,aq13_1,aq13_2,aq14_1,aq14_2,aq15_1,aq15_2,aq16_1,aq16_2,aq17_1,aq17_2,aq18_1,aq18_2,aq19_1,aq19_2,aq20_1,aq20_2,aq21_1,aq21_2,aq22_1,aq22_2,aq23_1,aq23_2,aq24_1,aq24_2,aq25_1,aq25_2,aq26_1,aq26_2,aq27_1,aq27_2,aq28_1,aq28_2,aq29_1,aq29_2,aq30_1,aq30_2,aq31_1,aq31_2,aq32_1,aq32_2,aq33_1,aq33_2,aq34_1,aq34_2,aq35_1,aq35_2,aq36_1,aq36_2,aq37_1,aq37_2,aq38_1,aq38_2,aq39_1,aq39_2,aq40_1,aq40_2,aq41_1,aq41_2,bq1,bq2,bq3,bq4,bq5,bq5_1,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13,bq14,bq15_1,bq15_2,bq15_3,bq16,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq19,bq20,bq21,bq22,bq23,bq24_1,bq24_2,bq24_3,bq24_4,bq24_5,bq24_6,bq24_7,bq24_8,bq25,bq26,bq27,bq28,bq29,bq35,bq36,bq37,bq38,bq39_1,bq39_2,bq40,bq41_1,bq41_2,bq41_3,knowcode,text_response,major
10,3,4,4,4,4,4,4,4,3,5,4,4,4,5,4,5,4,5,4,4,4,4,4,4,4,5,4,4,4,4,2,4,3,4,2,3,4,4,3,4,3,3,3,4,3,4,3,4,3,4,4,5,3,3,4,4,4,4,2,3,3,4,2,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,3,4,15,2,5,2,1,1,2,4,3,3,3,4,3,4,3,2,3,4,3,3,3,4,3,2,4,3,3,4,1,3,2,2,3,4,3,4,6,20,2,2,2,2,2,2,2,2,4,4,3,3,3,3,1,45,4,1,1,1,5000,0,1500,25201,직무교육 국경 감시 고유 기능 확대 반장 한글 관세 시스템 없음 다른 직렬 공무원,행정학
11,5,6,4,6,4,6,1,0,1,0,4,5,4,5,4,5,4,5,5,6,3,4,1,0,4,5,4,5,4,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,6,4,5,4,5,4,5,5,7,2,2,4,5,4,5,4,5,4,5,4,5,1,0,4,5,1,0,4,5,4,5,1,0,1,0,15,2,6,2,1,3,3,5,4,3,3,3,4,2,4,4,4,4,4,2,3,2,2,3,3,4,4,3,3,4,2,2,3,2,3,3,2,10,2,2,2,2,1,1,2,2,5,5,3,3,4,3,2,53,6,1,3,2,14000,0,14000,11101,정보화 교육 보고서 작성요령 인구 감소 진행 없다 국회 업무 청와대 춘추관장 보도지원 비서관,동아시아학
12,4,5,4,4,4,5,2,2,2,2,2,2,2,2,3,4,5,7,3,4,4,5,4,5,2,2,4,6,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,5,4,4,3,3,4,5,3,4,2,2,2,2,4,4,2,3,2,2,4,4,1,0,1,0,1,0,1,0,3,4,1,0,1,0,18,1,2,2,2,0,4,4,4,3,2,4,4,2,2,3,3,4,3,3,3,2,3,4,4,3,3,3,2,2,4,2,2,2,2,3,1,5,2,2,2,2,2,2,2,2,4,4,4,4,4,3,2,30,4,1,3,2,2100,0,1400,411104,일자리 수요 배출 인력 없다 없다 없다 없다,불어불문학
13,2,1,2,3,2,3,2,2,1,0,1,0,1,0,1,0,2,2,1,0,1,0,2,2,1,0,2,1,1,0,3,3,5,6,4,6,1,0,4,5,1,0,2,2,1,0,1,0,1,0,2,3,2,2,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,8,4,1,1,2,0,7,1,2,2,2,4,4,2,3,0,0,0,3,2,2,4,4,4,3,4,3,2,1,3,2,4,4,2,1,3,1,0,2,2,2,2,2,2,2,2,4,4,4,3,2,4,1,61,1,2,6,0,0,4500,0,623001,기중기 운전면허증 건설 경기 불황 없음 단순노무직 없음 없음,0
14,5,7,3,5,3,5,1,0,3,5,3,5,4,6,4,6,5,7,2,3,4,6,4,5,2,3,2,4,2,3,1,0,1,0,1,0,5,7,1,0,1,0,1,0,1,0,2,3,4,6,2,3,1,0,3,5,2,3,1,0,1,0,2,3,1,0,2,3,1,0,1,0,2,3,1,0,2,3,1,0,2,3,18,1,1,2,2,0,2,4,3,2,2,4,3,4,2,2,3,3,3,3,4,3,3,2,4,2,3,3,2,3,3,3,3,3,3,2,6,60,2,2,2,2,2,2,2,2,4,3,3,1,1,1,2,26,3,1,1,1,1800,0,1560,415501,일반인 제작 없음 드림위버 포토샵 일러스트 없음 없음 없음,산업디자인학
15,3,4,3,3,4,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,5,3,4,3,4,2,3,3,3,3,4,3,3,3,5,3,4,3,6,3,4,3,3,3,3,3,3,3,3,3,4,5,5,4,5,3,5,3,4,3,3,3,4,4,4,4,4,3,4,4,5,3,4,4,4,3,3,15,2,2,1,1,2,2,2,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,1,4,2,3,3,3,3,3,3,2,2,3,2,2,40,1,1,1,2,1,1,2,1,4,4,4,3,4,3,1,34,5,1,1,1,4100,0,2200,812101,자동차정비 산업기사 항공정비사 산업안전산업기사이상 장비별 작업상 기능 정비 공구 습득 훈련 점점 첨단 때문 없다 비용 공구 드라이버 측정 장비 없다 농기계수리 제초인력 없다,농업생명과학
16,3,4,3,4,3,4,3,3,3,4,3,2,3,4,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,3,2,2,3,1,0,3,3,2,3,1,0,1,0,1,0,1,0,1,0,3,6,3,5,3,6,3,3,3,3,3,3,3,1,3,2,3,2,3,3,3,2,3,2,3,3,3,3,3,2,3,1,15,2,5,2,1,1,5,5,3,2,2,4,4,4,3,3,5,5,4,3,3,2,3,3,4,3,4,4,4,4,3,3,3,3,2,3,1,10,2,1,1,2,2,2,2,2,4,3,4,4,3,3,2,40,4,1,1,1,4000,0,3000,25201,직무교육 정부 정책 움직임 직업 없다 없다 관세사 없다,미생물학
17,2,3,3,2,2,3,2,1,2,2,3,3,3,5,3,3,3,5,3,4,2,2,3,4,2,1,2,2,3,5,1,0,1,0,1,0,2,4,1,0,1,0,1,0,1,0,2,3,3,4,2,3,1,0,2,2,1,0,2,1,2,2,1,0,2,3,2,2,2,2,2,2,2,3,2,2,3,4,1,0,1,0,18,1,6,2,1,1,7,5,3,3,2,4,4,3,4,4,2,4,4,5,4,4,2,2,2,2,3,3,1,2,4,2,2,4,3,3,4,20,2,1,2,2,2,2,2,2,4,4,4,4,2,4,2,28,4,1,1,1,5500,0,4300,415501,기본적인 웹사이트 구조 IT에 대한 지식공부 GA Google Analyeics 교육 전문가 향후 디지털 시장 더욱 이기 때문 웹사이트 구축 담당 웹사이트 관리 프로그램 웹사이트 데이터 분석 프로그램 기업 홍보담당원 없음 빅데이터 분석 전문가,심리학
18,4,5,4,5,4,5,3,4,4,6,3,4,4,5,3,4,3,3,4,5,3,5,4,5,3,4,3,4,3,4,3,4,4,5,4,5,3,4,3,4,3,5,3,5,4,5,4,5,3,4,4,5,3,4,3,4,4,6,4,5,4,5,4,5,3,4,4,6,4,5,4,5,4,5,3,4,3,4,3,4,3,4,3,1,2,1,2,0,5,5,4,4,4,4,5,4,5,4,5,4,5,4,5,4,4,4,4,4,4,4,3,4,4,3,4,3,2,2,2,60,1,1,1,1,2,2,1,1,4,4,4,4,4,2,1,34,3,1,1,1,3500,0,2000,306301,치과기공사 평균수명 연장 없다 석고 모형 보철 마스크 안경 프레 학생 없다 치과위생사,치기공학
19,3,5,3,5,4,5,3,5,3,4,3,5,3,4,3,3,4,5,3,5,3,3,3,5,3,3,2,3,2,4,1,0,1,0,1,0,4,5,1,0,1,0,2,3,2,2,4,4,3,5,3,3,3,3,4,5,3,4,4,5,3,4,3,4,2,4,3,4,1,0,3,4,3,3,2,3,3,3,2,3,2,3,10,1,5,2,2,0,3,4,3,3,3,4,3,4,3,4,3,3,4,4,4,2,3,3,4,4,2,3,3,3,3,2,3,3,2,3,3,15,1,2,2,2,2,2,1,2,2,2,3,3,3,3,1,29,4,1,1,1,2500,0,2200,415503,광고 영상 그래픽 수요 현상 유지 상태 없다 포토샵 일러스트 에프 펙트 그래픽 없다 없다 없다,멀티미디어
20,4,5,4,5,4,4,4,5,4,5,1,0,1,0,1,0,1,0,3,3,3,3,3,3,1,0,1,0,1,0,4,4,3,3,3,3,1,0,2,2,1,0,2,2,1,0,1,0,1,0,1,0,3,3,4,4,1,0,4,5,1,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,4,4,1,0,3,4,1,4,1,2,2,0,6,2,3,4,3,4,3,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,2,2,3,2,3,3,10,1,2,2,2,2,2,2,2,3,3,3,2,3,3,1,50,2,2,6,0,0,4800,0,902101,일이 스스로 직업 이기 없다 젖병 농사 없다 없다,실업계
21,3,3,2,2,3,4,5,6,3,3,1,0,2,2,1,0,1,0,2,2,1,0,1,0,1,0,2,2,3,3,3,3,3,4,5,5,1,0,5,6,3,4,3,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,10,1,5,2,1,3,7,5,4,3,3,4,3,3,4,3,4,4,4,3,3,4,3,3,4,4,4,3,3,2,3,3,3,4,3,2,3,15,2,2,1,2,2,2,2,2,3,4,4,4,2,2,1,40,3,1,1,1,5700,0,3200,136002,방송 장비 조작 훈련 방송 채널 방송국 없다 카메라 없다 방송기술감독 없다,방송통신학
22,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,5,7,4,5,5,7,4,5,5,6,4,4,2,3,3,2,3,2,5,5,5,5,5,6,5,6,5,7,5,6,5,7,5,6,4,5,5,5,5,4,4,4,4,5,5,5,4,5,4,5,4,5,3,3,10,2,4,2,1,4,2,5,4,4,2,4,5,2,2,1,4,4,4,1,1,4,2,3,4,2,5,5,4,5,4,4,4,1,3,2,4,0,2,2,1,1,2,2,2,2,4,4,4,4,3,4,2,29,4,1,3,2,2400,0,1920,411104,자료조사 프리뷰 아이템 찾기 사람 거치 기계 대체 없다 없다 없다 없다,극작
23,3,4,3,3,3,3,2,2,2,2,4,5,3,4,3,3,3,3,3,5,3,3,3,3,3,3,2,3,3,3,4,4,5,5,3,4,2,1,2,2,2,3,2,2,2,2,2,2,2,3,2,1,1,0,5,5,4,5,4,5,4,6,4,4,4,4,2,3,2,2,2,2,2,2,2,2,1,0,2,2,1,0,19,1,1,1,2,0,3,2,4,3,3,4,5,4,4,0,0,0,5,4,4,2,3,3,3,3,4,3,4,4,4,3,4,4,2,3,1,10,2,2,1,1,2,2,2,2,4,4,3,4,4,3,2,48,2,2,5,0,0,6000,0,511201,미용사 소득 수준 의술 관심 사장님 원장님 미용 도구 약품 없다 없다 없다,문과
24,3,4,4,4,4,6,4,6,3,4,2,2,4,5,3,4,2,3,4,5,2,1,4,5,4,6,5,6,5,7,3,4,5,6,5,6,3,4,5,7,4,6,4,5,4,5,5,6,4,5,2,2,1,0,3,4,3,4,2,2,4,5,2,3,3,4,2,4,1,0,4,4,1,0,3,3,2,2,1,0,3,4,8,4,1,1,2,0,6,5,5,4,4,5,5,4,4,0,0,3,4,4,4,3,4,3,4,4,5,3,4,3,1,3,4,3,3,3,2,30,2,1,2,2,2,2,1,1,3,3,4,4,3,3,1,63,4,2,6,0,0,15000,0,621202,도선사 해기사 해상 수송 계속 유지 증가 없다 선장 없다 없다,해양공학
25,5,5,5,6,5,5,2,2,2,2,4,5,4,5,4,5,5,6,5,6,4,5,5,6,5,6,2,4,4,4,2,2,1,0,1,0,3,4,1,0,1,0,1,0,1,0,3,4,4,5,4,4,4,5,3,3,2,3,2,3,4,5,2,3,4,5,4,5,3,4,5,6,3,3,1,0,3,4,2,2,1,0,11,1,3,2,2,0,4,5,3,4,3,2,4,2,2,3,2,3,3,3,2,3,3,3,3,2,3,2,2,4,4,4,4,1,3,2,2,50,2,2,2,1,1,1,2,2,4,4,4,4,3,3,2,37,4,1,1,1,7000,0,4000,31101,시장 축소 없음 컴퓨터 없음 없음 없음,경영학
26,3,4,4,5,2,3,1,0,1,0,3,4,1,0,1,0,1,0,1,0,1,0,2,3,3,4,2,3,3,4,4,6,5,7,4,6,1,0,1,0,1,0,2,3,1,0,1,0,2,2,1,0,1,0,5,6,4,6,5,6,2,2,5,7,2,2,1,0,2,2,1,0,2,2,2,2,1,0,1,0,1,0,7,4,1,2,1,3,3,2,4,3,3,4,3,3,3,3,3,3,3,2,3,4,4,4,3,3,4,5,4,3,4,4,4,3,2,2,2,85,2,2,1,1,1,2,1,1,4,4,4,3,3,2,2,51,2,2,6,0,0,2200,0,872101,고기 취급하는 방법 현상 유지 없다 도마 판매직 없다,인문
27,1,0,1,0,2,3,2,3,2,2,1,0,2,3,2,1,1,0,3,4,1,0,2,3,2,3,1,0,2,2,4,4,2,3,2,3,2,2,2,3,1,0,2,3,1,0,2,3,1,0,2,3,1,0,3,3,2,3,1,0,1,0,1,0,2,3,3,4,1,0,2,1,1,0,1,0,1,0,1,0,1,0,3,1,2,2,2,0,2,1,1,1,1,2,4,2,3,2,3,3,3,1,1,2,2,2,3,3,3,4,3,3,4,2,3,2,2,2,3,10,2,2,1,2,2,1,2,2,3,4,3,2,1,2,2,44,2,1,1,1,2800,0,2000,821201,배수 경기 하락 일거리 감소 없다 선반 거절 모름,공업디자인
28,4,4,3,4,4,4,1,0,3,4,4,4,3,4,3,4,3,4,4,4,5,5,4,5,3,4,3,4,3,4,1,0,1,0,1,0,4,4,1,0,1,0,1,0,1,0,3,4,2,3,3,4,3,4,3,4,1,0,1,0,4,4,1,0,3,4,3,4,1,0,1,0,3,4,3,4,3,4,1,0,1,0,14,1,2,2,2,0,2,4,3,3,3,4,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,3,4,3,2,6,10,1,1,1,1,1,2,2,2,2,4,3,4,2,3,2,26,3,1,1,1,2300,0,2000,415503,게임 방송 산업 발달 동반성 없다 프리미어 에디 우스 맥스,미디어디자인
29,3,3,4,4,4,5,5,5,1,0,3,3,1,0,1,0,3,3,3,2,1,0,4,2,1,0,1,0,1,0,5,6,5,6,5,6,1,0,5,4,3,4,5,6,4,6,1,0,3,1,1,0,1,0,3,4,1,0,1,0,2,2,5,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,2,1,19,4,1,2,2,0,3,1,3,2,2,4,3,4,2,0,0,0,3,2,2,2,4,3,3,3,4,4,4,2,4,2,3,2,2,2,3,30,2,2,1,2,2,2,2,2,2,2,4,2,3,4,1,48,2,2,6,0,0,3500,0,811901,농업 인구 감소 없다 기중기 해머 농업 없다 없다,농업계
30,3,4,3,5,4,5,3,3,4,5,3,4,3,5,4,5,3,4,2,3,2,2,2,4,3,3,3,4,3,5,3,4,2,3,3,4,3,4,2,4,4,5,3,4,2,2,3,5,3,4,2,2,2,3,3,4,2,3,3,4,3,4,3,4,4,5,3,5,3,2,3,5,2,3,2,3,3,5,2,3,3,4,6,1,2,1,2,0,5,5,4,4,4,4,4,2,3,3,4,4,4,3,3,2,4,3,4,4,4,3,3,4,2,3,3,3,2,3,6,20,2,2,2,2,2,2,2,2,4,3,4,2,1,2,1,36,4,1,1,1,3900,0,2800,140204,건축전기설비기술자 건축 경기 없다 테스 터기 없다 없다 없다,건축학
31,2,3,2,3,2,3,1,0,1,0,1,0,1,0,1,0,1,0,3,4,3,4,3,4,2,2,2,3,3,4,3,4,2,3,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,2,4,1,0,3,4,3,4,3,4,1,0,1,0,1,0,1,0,3,4,1,0,3,4,2,3,2,2,1,0,1,0,19,1,2,1,1,1,1,4,4,3,2,3,4,4,3,0,4,4,3,4,4,3,3,3,3,3,4,4,2,3,3,2,3,5,3,4,3,0,2,2,2,2,2,2,2,2,4,3,4,3,3,2,2,47,2,1,1,1,2200,0,1800,232101,보육교사 유아 대하는 방법과 소통법 대체 없다 그림책 장난감 악기 그림 도구 앞치마 없다 없다 없다,인문
32,2,3,2,3,2,3,2,4,2,3,2,3,3,4,2,3,2,3,3,4,2,4,3,5,3,5,2,4,3,5,5,6,4,5,4,5,2,3,2,3,2,4,4,5,3,4,2,4,1,0,2,4,2,4,3,4,2,3,1,0,2,3,2,3,2,3,2,4,1,0,2,3,2,4,1,0,2,4,1,0,2,3,3,1,3,2,2,0,4,2,2,1,1,2,3,3,2,2,3,4,3,2,2,3,4,3,2,3,2,2,1,2,4,3,2,3,2,3,1,20,2,2,1,2,2,2,2,2,3,4,3,4,2,2,1,39,2,1,1,1,2900,0,1600,822301,필요 때문 없다 단기 곡기 택배기사 없다 없다,상업
33,4,5,3,7,3,4,3,3,3,4,3,3,1,0,1,0,1,0,3,4,1,0,1,0,1,0,1,0,1,0,3,5,3,3,4,4,3,5,3,3,4,3,1,0,1,0,1,0,1,0,3,2,3,4,3,2,3,4,3,6,3,5,3,2,3,2,3,4,3,3,1,0,3,3,1,0,1,0,1,0,3,4,1,4,1,2,2,0,7,4,3,1,1,2,2,3,2,3,4,3,4,3,2,4,2,2,2,4,4,4,2,4,4,4,4,3,4,3,1,20,1,1,2,2,1,1,1,1,4,5,4,4,3,4,2,56,1,2,6,0,0,2100,0,901201,귀농 추세 도시 때문 변화 농부 곡괭이 비닐 주부 없다 없다,0
34,3,5,3,4,3,5,4,5,4,5,3,5,2,3,4,5,4,5,2,4,2,4,4,5,4,5,3,4,2,3,4,5,4,5,3,4,3,5,3,4,2,3,2,4,4,5,4,5,3,4,2,3,1,0,2,3,2,3,2,3,2,3,1,0,2,3,2,4,4,5,4,5,4,5,3,4,2,4,2,4,2,3,19,3,2,2,1,6,5,5,4,3,2,4,4,2,2,4,4,4,4,4,3,2,3,3,4,4,3,2,2,4,2,2,3,3,2,3,4,40,2,2,2,2,2,2,2,2,4,3,4,3,3,1,1,59,5,1,1,1,6800,0,2400,23403,문화재 관련 지식 습득 연간 유물 발굴 문화재 진위 가치 평가 역할 중시 없다 표준 유물 관리 시스템 장갑 문화재 관리 프로그램 현미경 핀셋 없다 없다 없다,민속학
35,4,6,4,5,4,5,3,5,3,5,3,4,3,4,2,2,3,4,3,4,4,5,4,5,3,4,2,3,2,4,2,3,2,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,3,4,2,4,2,3,1,0,2,3,4,5,2,4,2,4,2,4,3,5,3,4,3,4,2,4,2,4,2,4,9,1,1,1,2,0,1,2,3,1,2,3,4,2,3,0,0,3,3,3,3,3,2,3,4,4,4,1,3,4,3,2,3,4,2,3,1,5,2,2,2,2,2,2,2,2,4,3,4,2,2,2,2,50,2,2,5,0,0,4300,0,531201,한식조리사 생활수준 향상 외식 문화 계속 발달 요리사 도마 주방보조 대혀 없다,실업(여상졸업)
