idx,knowcode,knowcode,
111,873401,873401,FALSE
112,110101,110101,FALSE
113,301113,301113,FALSE
114,821101,821101,FALSE
115,211101,211101,FALSE
116,212101,212101,FALSE
117,9999999,9999999,FALSE
118,306501,306501,FALSE
119,861301,861301,FALSE
120,240301,240301,FALSE
121,9999999,9999999,FALSE
122,816103,816103,FALSE
123,415101,415101,FALSE
124,136002,136002,FALSE
125,306401,306401,FALSE
126,622304,622304,FALSE
127,132004,132004,FALSE
128,812201,812201,FALSE
129,31501,31501,FALSE
130,301004,301004,FALSE
131,9999999,9999999,FALSE
132,9999999,9999999,FALSE
133,415202,415202,FALSE
134,133301,133301,FALSE
135,833001,833001,FALSE
136,131101,131101,FALSE
137,416304,416304,FALSE
138,15201,15201,FALSE
139,822101,822101,FALSE
140,826101,826101,FALSE
141,902101,902101,FALSE
142,158501,158501,FALSE
143,621403,621402,TRUE
144,13902,13902,FALSE
145,416401,416401,FALSE
146,212101,212101,FALSE
147,531301,531301,FALSE
148,9999999,155301,TRUE
149,211101,211101,FALSE
150,706001,706001,FALSE
151,140204,140204,FALSE
152,826902,826902,FALSE
153,612101,612101,FALSE
154,522202,522202,FALSE
155,621401,621401,FALSE
156,702601,702601,FALSE
157,151108,151108,FALSE
158,12402,12402,FALSE
159,9999999,9999999,FALSE
160,621201,621201,FALSE
161,542001,542001,FALSE
162,9999999,9999999,FALSE
163,25201,25201,FALSE
164,702301,702301,FALSE
165,301004,301004,FALSE
166,882301,882301,FALSE
167,853101,853101,FALSE
168,11201,11201,FALSE
169,133201,133201,FALSE
170,27201,27201,FALSE
171,872301,872301,FALSE
172,904201,904201,FALSE
173,140501,140501,FALSE
174,862101,862101,FALSE
175,140207,140207,FALSE
176,415404,415404,FALSE
177,521201,521201,FALSE
178,306903,306903,FALSE
179,152101,152101,FALSE
180,211101,211101,FALSE
181,32302,32302,FALSE
182,158501,158501,FALSE
183,511301,511301,FALSE
184,26201,26201,FALSE
185,214301,214301,FALSE
186,9999999,9999999,FALSE
187,211101,211101,FALSE
188,122201,122201,FALSE
189,871101,871101,FALSE
190,121101,121101,FALSE
191,852101,852101,FALSE
192,702301,702301,FALSE
193,835101,835101,FALSE
194,861201,861201,FALSE
195,811301,811301,FALSE
196,9999999,9999999,FALSE
197,211101,211101,FALSE
198,221102,221102,FALSE
199,420202,420202,FALSE
200,831101,831101,FALSE
201,522201,522201,FALSE
202,621203,621203,FALSE
203,24301,24301,FALSE
204,301401,301401,FALSE
205,615203,615203,FALSE
206,13305,13305,FALSE
207,411102,411102,FALSE
208,301102,301102,FALSE
209,420202,420202,FALSE
210,416105,416105,FALSE
211,306301,306301,FALSE
212,9999999,9999999,FALSE
213,884102,884102,FALSE
214,140204,140204,FALSE
215,9999999,9999999,FALSE
216,531601,531601,FALSE
217,873101,873101,FALSE
218,901201,901201,FALSE
219,901201,901201,FALSE
220,9999999,133201,TRUE
221,621202,621202,FALSE
222,140501,140501,FALSE
223,29203,29203,FALSE
224,561301,561301,FALSE
225,701401,701401,FALSE
226,9999999,9999999,FALSE
227,416102,416102,FALSE
228,9999999,9999999,FALSE
229,826902,826902,FALSE
230,26301,26301,FALSE
231,212101,212101,FALSE
232,29501,29501,FALSE
233,615101,615101,FALSE
234,621203,621203,FALSE
235,9999999,9999999,FALSE
236,13701,13701,FALSE
237,25201,25201,FALSE
238,158501,158501,FALSE
239,133301,133301,FALSE
240,29202,29202,FALSE
241,705901,705901,FALSE
242,833001,833001,FALSE
243,250301,250301,FALSE
244,415202,415202,FALSE
245,212101,212101,FALSE
246,9999999,9999999,FALSE
247,9999999,9999999,FALSE
248,841101,841101,FALSE
249,826401,826401,FALSE
250,29203,29203,FALSE
251,153104,153104,FALSE
252,842201,842201,FALSE
253,25402,25402,FALSE
254,823101,823101,FALSE
255,612501,612501,FALSE
256,121102,121102,FALSE
257,414301,414301,FALSE
258,9999999,9999999,FALSE
259,411202,411202,FALSE
260,9999999,9999999,FALSE
261,417102,417102,FALSE
262,215105,215105,FALSE
263,613001,613001,FALSE
264,231101,301004,TRUE
265,121105,121105,FALSE
266,301301,301301,FALSE
267,531201,531201,FALSE
268,134102,134102,FALSE
269,151108,151108,FALSE
270,811401,811401,FALSE
271,212101,212101,FALSE
272,871101,871101,FALSE
273,613001,613001,FALSE
274,416203,416203,FALSE
275,522202,522202,FALSE
276,706001,706001,FALSE
277,415404,415404,FALSE
278,531301,531301,FALSE
279,212101,212101,FALSE
280,134302,134302,FALSE
281,531501,531501,FALSE
282,110104,110104,FALSE
283,31201,31201,FALSE
284,9999999,9999999,FALSE
285,9999999,9999999,FALSE
286,301004,301004,FALSE
287,532201,532201,FALSE
288,9999999,9999999,FALSE
289,132004,132004,FALSE
290,902101,902101,FALSE
291,24404,24404,FALSE
292,12102,12102,FALSE
293,31201,31201,FALSE
294,415502,415502,FALSE
295,155305,155305,FALSE
296,702301,702301,FALSE
297,901201,901201,FALSE
298,213001,213001,FALSE
299,140207,140207,FALSE
300,29904,29904,FALSE
301,412002,412002,FALSE
302,153201,153201,FALSE
303,9999999,9999999,FALSE
304,211101,211101,FALSE
305,701101,701101,FALSE
306,415101,415101,FALSE
307,411101,411101,FALSE
308,702601,702601,FALSE
309,140204,140204,FALSE
310,864101,864101,FALSE
311,31301,31301,FALSE
312,211201,211201,FALSE
313,212101,212101,FALSE
314,512401,512401,FALSE
315,301111,301111,FALSE
316,301101,301101,FALSE
317,703101,703101,FALSE
318,413202,413202,FALSE
319,301004,23402,TRUE
320,833001,833001,FALSE
321,415503,415503,FALSE
322,11101,11101,FALSE
323,705902,705902,FALSE
324,9999999,14201,TRUE
325,416501,416501,FALSE
326,9999999,9999999,FALSE
327,214301,214301,FALSE
328,155104,155104,FALSE
329,151108,151108,FALSE
330,873401,873401,FALSE
331,511201,511201,FALSE
332,822101,822101,FALSE
333,612101,612101,FALSE
334,9999999,9999999,FALSE
335,301106,301106,FALSE
336,415502,415502,FALSE
337,616101,616101,FALSE
338,812901,812901,FALSE
339,702101,702101,FALSE
340,701401,701401,FALSE
341,611001,611001,FALSE
342,414902,414902,FALSE
343,9999999,9999999,FALSE
344,615401,615401,FALSE
345,136002,136002,FALSE
346,415101,415101,FALSE
347,861301,885902,TRUE
348,9999999,9999999,FALSE
349,140401,140401,FALSE
350,9999999,612101,TRUE
351,156201,156201,FALSE
352,301004,301004,FALSE
353,822101,822101,FALSE
354,9999999,9999999,FALSE
355,9999999,9999999,FALSE
356,212101,212101,FALSE
357,412001,412001,FALSE
358,9999999,154101,TRUE
359,812401,812401,FALSE
360,826901,826901,FALSE
361,416204,416204,FALSE
362,416202,416202,FALSE
363,133204,133204,FALSE
364,301401,301401,FALSE
365,702401,702401,FALSE
366,9999999,9999999,FALSE
367,9999999,9999999,FALSE
368,32301,32301,FALSE
369,16201,16201,FALSE
370,611001,611001,FALSE
371,623001,623001,FALSE
372,140306,140306,FALSE
373,153101,153101,FALSE
374,872301,872301,FALSE
375,306101,306101,FALSE
376,523001,523001,FALSE
377,821201,821201,FALSE
378,817201,817201,FALSE
379,212101,212101,FALSE
380,231201,231201,FALSE
381,9999999,9999999,FALSE
382,512201,512201,FALSE
383,232101,232101,FALSE
384,873501,873501,FALSE
385,24402,24402,FALSE
386,411101,411101,FALSE
387,110201,110201,FALSE
388,9999999,9999999,FALSE
389,522101,522101,FALSE
390,9999999,9999999,FALSE
391,825101,825101,FALSE
392,611001,611001,FALSE
393,24203,24203,FALSE
394,154102,154102,FALSE
395,411104,411104,FALSE
396,9999999,9999999,FALSE
397,881201,881201,FALSE
398,21001,21001,FALSE
399,420201,420201,FALSE
400,9999999,9999999,FALSE
401,301004,301004,FALSE
402,414301,414301,FALSE
403,420402,420402,FALSE
404,9999999,612301,TRUE
405,307501,307501,FALSE
406,9999999,9999999,FALSE
407,414703,414703,FALSE
408,140701,140701,FALSE
409,617901,617901,FALSE
410,301108,301108,FALSE
411,307301,307301,FALSE
412,23403,23403,FALSE
413,214102,214102,FALSE
414,9999999,9999999,FALSE
415,157101,157101,FALSE
416,23403,23403,FALSE
417,562401,562401,FALSE
418,9999999,9999999,FALSE
419,702701,702701,FALSE
420,306701,306701,FALSE
421,303001,301108,TRUE
422,873201,873201,FALSE
423,416101,416101,FALSE
424,211101,211101,FALSE
425,521304,521304,FALSE
426,612101,612101,FALSE
427,23201,23201,FALSE
428,140502,140502,FALSE
429,417201,417201,FALSE
430,159104,159104,FALSE
431,9999999,9999999,FALSE
432,12201,12201,FALSE
433,9999999,9999999,FALSE
434,9999999,9999999,FALSE
435,155401,155401,FALSE
436,9999999,9999999,FALSE
437,826401,826401,FALSE
438,24404,24404,FALSE
439,415301,415301,FALSE
440,16301,16301,FALSE
441,134301,134301,FALSE
442,212101,212101,FALSE
443,9999999,9999999,FALSE
444,307401,307401,FALSE
445,301004,301004,FALSE
446,414902,414902,FALSE
447,882301,882301,FALSE
448,615601,615601,FALSE
449,140304,140304,FALSE
450,211101,301102,TRUE
451,701101,701101,FALSE
452,212101,212101,FALSE
453,12401,12401,FALSE
454,9999999,9999999,FALSE
455,240201,240201,FALSE
456,853101,853101,FALSE
457,31301,31301,FALSE
458,522202,522202,FALSE
459,621202,621202,FALSE
460,27101,27101,FALSE
461,31301,31301,FALSE
462,861201,861201,FALSE
463,159104,159104,FALSE
464,701101,701101,FALSE
465,29303,29101,TRUE
466,212101,212101,FALSE
467,122103,122103,FALSE
468,415404,415404,FALSE
469,215105,215105,FALSE
470,904101,904101,FALSE
471,24203,24203,FALSE
472,9999999,9999999,FALSE
473,9999999,9999999,FALSE
474,29401,29401,FALSE
475,852101,852101,FALSE
476,301301,301301,FALSE
477,121102,122104,TRUE
478,622201,622201,FALSE
479,23402,155301,TRUE
480,24203,24203,FALSE
481,416401,416401,FALSE
482,24402,24402,FALSE
483,825201,825201,FALSE
484,301111,301111,FALSE
485,12301,12301,FALSE
486,704001,704001,FALSE
487,511402,511402,FALSE
488,9999999,9999999,FALSE
489,415404,415404,FALSE
490,823101,823101,FALSE
491,621203,621203,FALSE
492,9999999,9999999,FALSE
493,416301,416301,FALSE
494,616101,616101,FALSE
495,861301,861301,FALSE
496,416301,416301,FALSE
497,158401,158401,FALSE
498,532101,532101,FALSE
499,9999999,9999999,FALSE
500,211101,211101,FALSE
501,9999999,9999999,FALSE
502,622304,622304,FALSE
503,864201,864201,FALSE
504,420201,420201,FALSE
505,841101,841101,FALSE
506,140306,140306,FALSE
507,307601,307601,FALSE
508,511501,511501,FALSE
509,153102,153102,FALSE
510,420202,420202,FALSE
511,24301,24301,FALSE
512,152201,152201,FALSE
513,211101,211101,FALSE
514,862201,862201,FALSE
515,562401,562401,FALSE
516,415501,415501,FALSE
517,903101,903101,FALSE
518,21001,21001,FALSE
519,307501,307501,FALSE
520,853101,853101,FALSE
521,301004,301004,FALSE
522,9999999,9999999,FALSE
523,134101,134101,FALSE
524,816103,816103,FALSE
525,9999999,9999999,FALSE
526,831101,831101,FALSE
527,131202,131202,FALSE
528,28401,28401,FALSE
529,211101,211101,FALSE
530,835101,835101,FALSE
531,133301,133301,FALSE
532,541201,541201,FALSE
533,420301,420301,FALSE
534,816103,816103,FALSE
535,153301,153301,FALSE
536,9999999,9999999,FALSE
537,158402,158402,FALSE
538,420201,420201,FALSE
539,157201,157201,FALSE
540,872101,872101,FALSE
541,885101,885101,FALSE
542,621202,621202,FALSE
543,157101,157101,FALSE
544,811201,811201,FALSE
545,133205,133205,FALSE
546,157201,157201,FALSE
547,301004,301004,FALSE
548,416204,416204,FALSE
549,134101,134101,FALSE
550,301103,301103,FALSE
551,411201,411201,FALSE
552,9999999,9999999,FALSE
553,134201,134201,FALSE
554,862301,862301,FALSE
555,903101,903101,FALSE
556,9999999,9999999,FALSE
557,131203,131203,FALSE
558,9999999,9999999,FALSE
559,212101,212101,FALSE
560,522202,522202,FALSE
561,621901,621901,FALSE
562,702701,702701,FALSE
563,831201,831201,FALSE
564,301004,301004,FALSE
565,212101,212101,FALSE
566,833001,833001,FALSE
567,705101,705101,FALSE
568,833001,833001,FALSE
569,32301,32301,FALSE
570,9999999,415202,TRUE
571,9999999,9999999,FALSE
572,12201,12201,FALSE
573,542001,542001,FALSE
574,416301,416301,FALSE
575,9999999,9999999,FALSE
576,812201,812201,FALSE
577,9999999,9999999,FALSE
578,122102,122102,FALSE
579,411202,411202,FALSE
580,562401,562401,FALSE
581,826902,826902,FALSE
582,562401,562401,FALSE
583,615301,615301,FALSE
584,826301,826301,FALSE
585,835101,835101,FALSE
586,28202,28202,FALSE
587,701501,701501,FALSE
588,301004,301004,FALSE
589,414702,414702,FALSE
590,411101,411101,FALSE
591,9999999,9999999,FALSE
592,211101,211101,FALSE
593,550101,550101,FALSE
594,416201,416201,FALSE
595,531201,531201,FALSE
596,831301,831301,FALSE
597,140201,140201,FALSE
598,414201,414201,FALSE
599,416701,416701,FALSE
600,154102,154102,FALSE
601,9999999,9999999,FALSE
602,307601,307601,FALSE
603,9999999,9999999,FALSE
604,301004,301004,FALSE
605,414702,416203,TRUE
606,417201,417201,FALSE
607,301109,301109,FALSE
608,863201,863201,FALSE
609,612101,612101,FALSE
610,883201,883201,FALSE
611,9999999,9999999,FALSE
612,9999999,9999999,FALSE
613,301004,301004,FALSE
614,301004,301004,FALSE
615,221102,221102,FALSE
616,881101,881101,FALSE
617,23403,23403,FALSE
618,152101,152101,FALSE
619,158401,158401,FALSE
620,301104,301104,FALSE
621,414401,414401,FALSE
622,835201,835201,FALSE
623,29303,29303,FALSE
624,882301,882301,FALSE
625,232101,232101,FALSE
626,415101,415101,FALSE
627,9999999,9999999,FALSE
628,9999999,9999999,FALSE
629,622304,622304,FALSE
630,12402,12402,FALSE
631,615101,615101,FALSE
632,28203,28203,FALSE
633,151201,151201,FALSE
634,12201,12201,FALSE
635,511201,511201,FALSE
636,9999999,9999999,FALSE
637,417201,417201,FALSE
638,817201,817201,FALSE
639,110103,110103,FALSE
640,301102,301102,FALSE
641,872101,872101,FALSE
642,32302,32302,FALSE
643,873101,873101,FALSE
644,624201,624201,FALSE
645,705901,705901,FALSE
646,415404,415404,FALSE
647,872101,872101,FALSE
648,140204,140204,FALSE
649,212901,212901,FALSE
650,413202,413202,FALSE
651,28203,28203,FALSE
652,701301,701301,FALSE
653,134401,134401,FALSE
654,301004,301004,FALSE
655,301004,301004,FALSE
656,411301,411301,FALSE
657,24402,24402,FALSE
658,621402,621402,FALSE
659,9999999,9999999,FALSE
660,31401,31401,FALSE
661,301108,301108,FALSE
662,622304,622304,FALSE
663,873201,873201,FALSE
664,616201,616201,FALSE
665,306902,306902,FALSE
666,306701,306701,FALSE
667,863401,863401,FALSE
668,622201,622201,FALSE
669,29901,29901,FALSE
670,861301,861301,FALSE
671,133301,133301,FALSE
672,415301,415301,FALSE
673,416302,416302,FALSE
674,511201,511201,FALSE
675,612101,612101,FALSE
676,420201,420201,FALSE
677,28202,28202,FALSE
678,22201,22201,FALSE
679,420101,420101,FALSE
680,883101,883101,FALSE
681,9999999,9999999,FALSE
682,9999999,9999999,FALSE
683,29101,29101,FALSE
684,512102,512102,FALSE
685,9999999,9999999,FALSE
686,611001,611001,FALSE
687,881101,881101,FALSE
688,523001,523001,FALSE
689,522202,522202,FALSE
690,140204,140204,FALSE
691,882101,882101,FALSE
692,156201,156201,FALSE
693,11102,11102,FALSE
694,306201,306201,FALSE
695,27101,27101,FALSE
696,701201,701201,FALSE
697,612501,612501,FALSE
698,24402,24402,FALSE
699,871101,871101,FALSE
700,212101,212101,FALSE
701,622101,622101,FALSE
702,9999999,9999999,FALSE
703,153201,153201,FALSE
704,901501,901501,FALSE
705,23401,23401,FALSE
706,816103,816103,FALSE
707,415503,415503,FALSE
708,9999999,9999999,FALSE
709,9999999,9999999,FALSE
710,416401,416401,FALSE
711,9999999,9999999,FALSE
712,9999999,9999999,FALSE
713,9999999,9999999,FALSE
714,9999999,9999999,FALSE
715,541101,541101,FALSE
716,621901,621901,FALSE
717,9999999,9999999,FALSE
718,414602,414602,FALSE
719,624201,624201,FALSE
720,13305,13305,FALSE
721,24404,24404,FALSE
722,132004,132004,FALSE
723,622304,622304,FALSE
724,621301,621301,FALSE
725,411103,411103,FALSE
726,873301,873301,FALSE
727,9999999,9999999,FALSE
728,305001,305001,FALSE
729,902101,902101,FALSE
730,414502,414502,FALSE
731,211101,211101,FALSE
732,214301,214301,FALSE
733,222001,222001,FALSE
734,24402,24402,FALSE
735,863401,863401,FALSE
736,9999999,9999999,FALSE
737,615101,615101,FALSE
738,612301,301004,TRUE
739,29203,29203,FALSE
740,702701,702701,FALSE
741,211101,211101,FALSE
742,9999999,9999999,FALSE
743,414601,414601,FALSE
744,31201,31201,FALSE
745,853201,853201,FALSE
746,851101,851101,FALSE
747,9999999,9999999,FALSE
748,24402,24402,FALSE
749,851101,851101,FALSE
750,612501,612501,FALSE
751,531401,531401,FALSE
752,221101,221101,FALSE
753,414302,414302,FALSE
754,11101,11101,FALSE
755,532301,532301,FALSE
756,531301,531301,FALSE
757,25402,25402,FALSE
758,9999999,9999999,FALSE
759,414501,414501,FALSE
760,621301,621301,FALSE
761,416304,416304,FALSE
762,155301,155301,FALSE
763,307101,307101,FALSE
764,621402,621402,FALSE
765,9999999,9999999,FALSE
766,32301,32301,FALSE
767,9999999,9999999,FALSE
768,153201,153201,FALSE
769,11102,11102,FALSE
770,826201,826201,FALSE
771,9999999,9999999,FALSE
772,9999999,9999999,FALSE
773,851101,851101,FALSE
774,414902,414902,FALSE
775,212101,212101,FALSE
776,32201,32201,FALSE
777,28204,28204,FALSE
778,616201,616201,FALSE
779,158501,158501,FALSE
780,9999999,9999999,FALSE
781,110201,110201,FALSE
782,212101,212101,FALSE
783,413202,413202,FALSE
784,303001,303001,FALSE
785,415404,415404,FALSE
786,140207,140207,FALSE
787,9999999,9999999,FALSE
788,817101,817101,FALSE
789,158402,158402,FALSE
790,11201,11201,FALSE
791,851101,851101,FALSE
792,9999999,9999999,FALSE
793,415404,415404,FALSE
794,134401,134401,FALSE
795,156101,156101,FALSE
796,24203,24203,FALSE
797,420402,420402,FALSE
798,811101,811101,FALSE
799,11101,11101,FALSE
800,29202,29202,FALSE
801,851201,851201,FALSE
802,901201,901201,FALSE
803,212101,212101,FALSE
804,561401,561401,FALSE
805,881101,881101,FALSE
806,531701,531701,FALSE
807,240101,240101,FALSE
808,133203,133203,FALSE
809,9999999,9999999,FALSE
810,621202,621202,FALSE
811,882301,882301,FALSE
812,414601,414601,FALSE
813,136002,136002,FALSE
814,122201,122201,FALSE
815,301004,301004,FALSE
816,9999999,9999999,FALSE
817,151105,151105,FALSE
818,9999999,9999999,FALSE
819,903101,903101,FALSE
820,561401,561401,FALSE
821,155303,155303,FALSE
822,621203,621203,FALSE
823,212102,212102,FALSE
824,901101,901101,FALSE
825,29501,29501,FALSE
826,420201,420201,FALSE
827,9999999,9999999,FALSE
828,415301,415301,FALSE
829,303001,303001,FALSE
830,214301,214301,FALSE
831,110103,110103,FALSE
832,301201,301201,FALSE
833,617901,617901,FALSE
834,214501,214501,FALSE
835,561601,561601,FALSE
836,9999999,306301,TRUE
837,701501,701501,FALSE
838,140204,140204,FALSE
839,420401,420401,FALSE
840,531201,531201,FALSE
841,561301,561301,FALSE
842,29201,29201,FALSE
843,215105,215105,FALSE
844,31301,31301,FALSE
845,9999999,9999999,FALSE
846,9999999,9999999,FALSE
847,155105,155105,FALSE
848,411301,411301,FALSE
849,12201,12201,FALSE
850,9999999,9999999,FALSE
851,612501,612501,FALSE
852,414902,414902,FALSE
853,25402,25402,FALSE
854,904101,904101,FALSE
855,211201,211201,FALSE
856,121104,121104,FALSE
857,511201,511201,FALSE
858,9999999,9999999,FALSE
859,211101,211101,FALSE
860,307301,307301,FALSE
861,9999999,9999999,FALSE
862,885902,885902,FALSE
863,301113,301113,FALSE
864,821101,821101,FALSE
865,9999999,9999999,FALSE
866,411105,411105,FALSE
867,885201,885201,FALSE
868,416302,416302,FALSE
869,412002,412002,FALSE
870,152101,152101,FALSE
871,816103,816103,FALSE
872,861301,861301,FALSE
873,511201,511201,FALSE
874,301004,301004,FALSE
875,212101,212101,FALSE
876,214301,214301,FALSE
877,16201,16201,FALSE
878,532101,532301,TRUE
879,12402,12402,FALSE
880,151201,151201,FALSE
881,110102,110102,FALSE
882,303001,303001,FALSE
883,821201,821201,FALSE
884,833001,833001,FALSE
885,212101,212101,FALSE
886,211101,211101,FALSE
887,417102,417102,FALSE
888,826401,826401,FALSE
889,155102,155102,FALSE
890,531401,531401,FALSE
891,301004,301004,FALSE
892,415202,415202,FALSE
893,9999999,9999999,FALSE
894,14201,14201,FALSE
895,140207,140207,FALSE
896,301004,301004,FALSE
897,411106,411106,FALSE
898,211101,211101,FALSE
899,9999999,9999999,FALSE
900,864201,864201,FALSE
901,134301,134301,FALSE
902,9999999,9999999,FALSE
903,110104,110104,FALSE
904,9999999,9999999,FALSE
905,562401,562401,FALSE
906,623001,623001,FALSE
907,621401,621401,FALSE
908,621402,621402,FALSE
909,151101,151101,FALSE
910,416104,416104,FALSE
911,221301,221301,FALSE
912,9999999,9999999,FALSE
913,9999999,9999999,FALSE
914,13305,13305,FALSE
915,826101,826101,FALSE
916,9999999,9999999,FALSE
917,702201,702201,FALSE
918,883201,883201,FALSE
919,134302,134302,FALSE
920,836001,836001,FALSE
921,13101,13101,FALSE
922,215101,215101,FALSE
923,550101,550101,FALSE
924,9999999,9999999,FALSE
925,140401,306701,TRUE
926,872101,872101,FALSE
927,214201,214201,FALSE
928,9999999,9999999,FALSE
929,522202,522202,FALSE
930,211101,211101,FALSE
931,415501,415501,FALSE
932,154102,154102,FALSE
933,153106,153106,FALSE
934,817201,817201,FALSE
935,9999999,9999999,FALSE
936,873101,873101,FALSE
937,26102,26102,FALSE
938,9999999,9999999,FALSE
939,133204,133204,FALSE
940,301108,301108,FALSE
941,221102,221102,FALSE
942,158401,158401,FALSE
943,413202,413202,FALSE
944,13201,13201,FALSE
945,511201,511201,FALSE
946,882301,882301,FALSE
947,622201,622201,FALSE
948,621202,621202,FALSE
949,133202,133202,FALSE
950,121103,121103,FALSE
951,9999999,9999999,FALSE
952,413202,413202,FALSE
953,212201,212201,FALSE
954,133205,133205,FALSE
955,882301,882301,FALSE
956,13305,13305,FALSE
957,612101,612101,FALSE
958,214301,214301,FALSE
959,531301,531301,FALSE
960,301108,301108,FALSE
961,33201,33201,FALSE
962,122105,122105,FALSE
963,28202,28202,FALSE
964,561601,561601,FALSE
965,702502,702502,FALSE
966,9999999,9999999,FALSE
967,411106,411106,FALSE
968,412001,412001,FALSE
969,812901,812901,FALSE
970,414101,414101,FALSE
971,813201,813201,FALSE
972,302001,302001,FALSE
973,158501,158501,FALSE
974,420101,420101,FALSE
975,140201,140201,FALSE
976,863401,863401,FALSE
977,212101,212101,FALSE
978,151107,151107,FALSE
979,702101,702101,FALSE
980,24402,24402,FALSE
981,622201,622201,FALSE
982,110202,110202,FALSE
983,133202,133202,FALSE
984,31201,31201,FALSE
985,841101,841101,FALSE
986,624301,624301,FALSE
987,9999999,9999999,FALSE
988,9999999,9999999,FALSE
989,621202,621202,FALSE
990,816103,816103,FALSE
991,873301,873301,FALSE
992,811901,811901,FALSE
993,13305,13305,FALSE
994,9999999,9999999,FALSE
995,301004,301004,FALSE
996,212201,212201,FALSE
997,31501,31501,FALSE
998,221401,221401,FALSE
999,9999999,9999999,FALSE
1000,702502,702502,FALSE
1001,9999999,9999999,FALSE
1002,9999999,9999999,FALSE
1003,817101,817101,FALSE
1004,811901,811901,FALSE
1005,884102,884102,FALSE
1006,24203,24203,FALSE
1007,121102,121102,FALSE
1008,133203,133203,FALSE
1009,834001,834001,FALSE
1010,25101,25101,FALSE
1011,624101,624101,FALSE
1012,702101,702101,FALSE
1013,158201,158201,FALSE
1014,702401,702401,FALSE
1015,622304,622304,FALSE
1016,415404,415404,FALSE
1017,812102,812102,FALSE
1018,301004,301004,FALSE
1019,212101,212101,FALSE
1020,9999999,9999999,FALSE
1021,831101,831101,FALSE
1022,301201,301201,FALSE
1023,27101,27101,FALSE
1024,511401,511401,FALSE
1025,215101,215101,FALSE
1026,561401,561401,FALSE
1027,31403,31403,FALSE
1028,615501,615501,FALSE
1029,136001,136001,FALSE
1030,9999999,812401,TRUE
1031,231301,231301,FALSE
1032,812301,812301,FALSE
1033,307601,307601,FALSE
1034,23403,23403,FALSE
1035,702201,702201,FALSE
1036,9999999,9999999,FALSE
1037,701101,701101,FALSE
1038,420402,420402,FALSE
1039,624401,624401,FALSE
1040,14103,14103,FALSE
1041,158201,158201,FALSE
1042,815001,815001,FALSE
1043,156101,156101,FALSE
1044,9999999,9999999,FALSE
1045,550101,550101,FALSE
1046,621402,136001,TRUE
1047,863201,863201,FALSE
