idx,sq1,sq2,sq3,sq4,sq5,sq6,sq7,sq8,sq9,sq10,sq11,sq12,sq13,sq14,sq15,sq16,kq1_1,kq1_2,kq2_1,kq2_2,kq3_1,kq3_2,kq4_1,kq4_2,kq5_1,kq5_2,kq6_1,kq6_2,kq7_1,kq7_2,kq8_1,kq8_2,kq9_1,kq9_2,kq10_1,kq10_2,kq11_1,kq11_2,kq12_1,kq12_2,kq13_1,kq13_2,kq14_1,kq14_2,kq15_1,kq15_2,kq16_1,kq16_2,kq17_1,kq17_2,kq18_1,kq18_2,kq19_1,kq19_2,kq20_1,kq20_2,kq21_1,kq21_2,kq22_1,kq22_2,kq23_1,kq23_2,kq24_1,kq24_2,kq25_1,kq25_2,kq26_1,kq26_2,kq27_1,kq27_2,kq28_1,kq28_2,kq29_1,kq29_2,kq30_1,kq30_2,kq31_1,kq31_2,kq32_1,kq32_2,kq33_1,kq33_2,bq1,bq2,bq3,bq4,bq5,bq5_1,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13_1,bq13_2,bq13_3,bq14_1,bq14_2,bq14_3,bq14_4,bq14_5,bq15,bq16_1,bq16_2,bq16_3,bq16_4,bq16_5,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq18_8,bq18_9,bq19,bq20,bq21_1,bq21_2,bq21_3,bq25,bq26,bq27,bq28,bq28_1,bq28_2,bq29,bq30,bq31_1,bq31_2,bq31_3,knowcode,text_response,bef_job,able_job,major,description,bq6_mark,bq12_2_mark,bq12_3_mark,bq12_4_mark
18579,3,3,3,2,2,2,2,2,2,2,3,4,4,2,2,2,2,2,1,0,1,0,1,0,2,2,1,0,2,2,3,3,1,0,1,0,1,0,1,0,3,2,1,0,3,3,2,2,3,3,2,2,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,4,1,3,1,0,1,0,1,0,1,0,1,0,1,4,1,2,2,0,1.0,1.0,3,1,1.0,4.0,3.0,4.0,1,3,3,3.0,1,1,4,4,4,3,3,4,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2.0,4,3,3.0,1.0,69,1.0,2,1,6,0,60.0,0,0,1000,901101,희망이 수입,0,0,0,곡식작물 재배원 곡식작물 재배원,0,1,1,1
18580,4,5,5,3,4,4,4,3,3,3,5,5,5,5,3,3,1,0,1,0,1,0,1,0,1,0,1,0,3,4,1,0,1,0,2,3,1,0,1,0,4,5,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,1,4,1,3,1,0,1,0,1,0,1,0,1,0,3,1,2,2,1,3,1.0,2.0,2,1,1.0,1.0,1.0,3.0,2,2,3,3.0,3,5,1,1,5,5,5,4,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1.0,2,2,2.0,2.0,54,2.0,1,1,6,1,44.0,2400,2000,0,835201,안전교육 직업 스트레스 하향 산업,주부,0,여상,전자 부품·제품 생산기계 조작원 전자 부품·제품 생산기계 조작원,0,0,0,0
18581,5,5,5,5,5,4,3,5,5,4,4,5,4,4,5,5,4,5,4,6,4,5,4,5,4,4,4,5,4,4,2,3,5,6,3,5,5,7,5,6,5,6,5,6,4,4,3,4,3,3,4,6,4,4,5,6,4,3,3,3,5,7,3,4,4,3,5,5,4,4,2,3,3,3,5,4,5,6,4,5,3,3,6,1,6,2,1,6,4.0,5.0,4,2,1.0,3.0,4.0,3.0,3,3,4,4.0,4,3,3,3,4,4,3,1,2,3,5,4,3,2,3,4,1,1,1,1,1,1,2,2,2,2,2.0,2,3,2.0,1.0,41,3.0,1,1,6,1,50.0,0,2800,0,159103,프로그램 사용 교육 프린터 도입 기피 현상,모델제작,목공 가구 제작,건축,3D 프린팅모델러 3D 프린팅모델러,0,0,0,0
18582,4,3,4,4,3,4,3,4,3,4,3,3,4,3,4,3,1,0,1,0,1,0,2,2,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,4,5,1,0,1,0,1,0,1,4,1,3,2,2,1,0,1,0,2,3,1,0,18,2,3,1,2,0,6.0,4.0,4,4,4.0,2.0,3.0,4.0,4,4,3,4.0,4,1,3,3,4,5,4,5,4,2,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,1,4.0,1,1,1.0,1.0,29,3.0,1,1,6,1,42.0,2300,1950,0,420401,스포츠생활지도사 생활 체육 증대,0,0,예체능교육학과,스포츠강사 스포츠강사,0,0,0,0
18583,4,4,5,3,2,2,4,5,4,4,5,5,5,4,3,3,1,0,1,0,1,0,1,0,3,3,1,0,1,0,1,0,1,0,1,0,2,2,1,0,3,3,1,0,2,2,2,2,1,0,2,3,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,4,1,3,1,0,1,0,1,0,1,0,1,0,19,1,1,2,2,0,2.0,1.0,2,1,1.0,3.0,2.0,2.0,3,3,3,3.0,3,4,3,3,2,2,2,2,2,3,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,1.0,2,2,2.0,1.0,58,2.0,2,1,6,0,60.0,0,0,2400,561401,소비자 수선 대한 수요 감소,0,0,문,구두 미화원,0,1,1,1
18584,3,3,4,2,3,3,3,3,2,2,3,4,4,3,2,2,2,2,1,0,1,0,2,2,3,3,1,0,1,0,3,3,1,0,1,0,1,0,1,0,2,2,1,0,3,3,1,0,2,2,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,4,1,3,1,0,1,0,2,2,1,0,1,0,1,4,1,2,2,0,1.0,1.0,2,1,1.0,4.0,4.0,4.0,2,3,3,3.0,2,1,4,3,4,4,4,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2.0,4,1,2.0,2.0,69,1.0,2,1,6,0,21.0,0,0,1500,901101,수입,0,0,0,곡식작물 재배원 곡식작물 재배원,0,1,1,1
18585,5,4,5,1,4,4,4,4,3,3,4,5,3,3,1,4,1,0,4,6,2,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,4,5,5,4,4,4,4,4,1,0,1,0,4,5,1,0,1,0,3,6,5,6,1,0,1,0,1,4,1,3,1,0,1,0,3,4,3,4,1,0,10,6,5,2,1,2,1.0,4.0,4,4,4.0,2.0,5.0,3.0,3,3,3,3.0,3,3,2,3,3,2,5,5,5,4,4,4,4,3,4,4,1,1,1,1,1,1,2,2,2,1,2.0,1,1,1.0,2.0,31,4.0,1,2,6,2,40.0,4000,2000,0,416303,CG제작 장비 도입 실시간 날씨 매체 증가,0,강사,소프트시스템과,기상캐스터,0,0,0,0
18586,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,1,0,1,0,1,0,1,0,5,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,1,0,1,0,1,0,1,4,1,3,5,4,1,0,1,0,1,0,1,0,9,1,3,2,1,1,1.0,2.0,3,3,3.0,4.0,4.0,4.0,4,4,4,5.0,5,4,3,4,5,5,5,3,4,2,4,3,3,3,3,5,2,2,1,1,1,1,2,2,2,2,3.0,3,3,3.0,2.0,25,3.0,1,3,6,2,40.0,1920,1800,0,532101,안전교육 서비스교육 항상 버거 절차 안전교육 그거 대해 서로 분담 패스트푸드 항상 인기 때문 일자리 감소,아르바이트(PC방),프랜차이즈 가게라면 전부 다,관광경영,패스트푸드 준비원 패스트푸드 준비원,0,0,0,0
18587,4,3,3,2,5,4,5,1,2,4,3,5,1,2,4,2,1,0,1,0,1,0,2,3,3,3,1,0,2,2,1,0,1,0,1,0,5,5,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,2,3,2,2,1,0,1,4,1,3,3,4,3,4,2,3,2,3,1,0,3,1,4,2,2,0,4.0,5.0,4,4,3.0,4.0,5.0,1.0,1,2,2,4.0,3,1,4,4,4,4,4,2,3,3,1,3,3,2,2,2,1,1,1,2,2,2,1,1,2,1,3.0,1,1,1.0,2.0,32,4.0,1,1,6,1,40.0,4100,3200,0,415201,프로그램 매뉴얼 숙지 기계 대체 업무,0,0,의상디자인과,의상 디자이너 의상 디자이너,0,0,0,0
18588,4,3,3,3,3,2,5,4,4,4,4,4,4,4,3,4,4,5,3,5,3,5,4,5,3,3,3,4,1,0,1,0,3,4,1,0,1,0,1,0,1,0,3,4,1,0,1,0,1,0,3,5,1,0,1,0,1,0,2,2,1,0,2,4,3,5,1,0,1,4,1,3,3,5,3,4,4,5,4,4,5,5,8,1,2,2,2,0,6.0,5.0,4,4,4.0,4.0,4.0,3.0,4,3,3,4.0,4,3,4,4,3,4,3,4,3,3,4,3,3,1,2,4,2,2,2,2,2,2,2,2,2,2,1.0,4,4,3.0,1.0,45,4.0,2,1,5,0,46.0,0,0,6000,15201,운송 물류 자동화,운송사무원,0,0,운송 관리자 운송 관리자,0,1,1,0
18589,5,5,5,4,5,4,5,4,3,4,5,5,5,3,3,5,4,5,5,6,4,5,4,5,4,6,4,4,1,0,1,0,3,5,1,0,1,0,1,0,1,0,4,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,5,3,4,3,4,4,4,1,0,1,4,1,3,3,4,1,0,4,4,3,5,1,0,11,1,4,2,2,0,6.0,5.0,4,4,4.0,5.0,4.0,4.0,3,4,4,5.0,4,2,3,3,6,5,5,5,2,1,2,2,2,2,1,5,2,2,2,2,2,2,2,2,2,2,2.0,1,2,5.0,1.0,54,4.0,1,1,6,1,45.0,9500,7200,0,12401,세계 경제 갈수록 지고,증권사무원,금융관련쪽 관리자는 모두 가능함,영어 영문학,금융관리자 금융관리자,0,0,0,0
18590,2,3,2,1,2,2,2,2,2,2,3,3,3,2,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,4,1,3,1,0,1,0,1,0,1,0,1,0,6,1,2,1,2,0,3.0,2.0,3,2,1.0,3.0,3.0,2.0,2,3,3,3.0,3,2,3,3,2,2,3,2,1,3,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2.0,3,3,3.0,1.0,53,2.0,1,1,6,1,50.0,3960,3600,0,704001,굴삭기 면허증 사량 건설 경기 침체,0,0,인문계과,건설 및 채굴기계운전원 건설 및 채굴기계운전원,1,0,0,0
18591,4,4,5,5,5,4,4,4,4,4,5,4,5,3,4,4,4,3,4,5,3,3,3,5,4,5,2,2,4,5,1,0,2,3,5,6,4,4,1,0,5,6,3,6,3,4,2,2,1,0,3,4,1,0,2,1,1,0,1,0,3,3,4,5,4,3,1,0,2,2,1,3,3,3,2,3,1,0,2,3,4,4,3,1,4,2,1,3,5.0,5.0,4,3,3.0,4.0,5.0,1.0,5,3,3,5.0,3,3,2,3,3,3,3,1,2,3,3,2,3,3,3,4,1,1,1,1,2,2,2,1,1,2,2.0,1,3,2.0,1.0,31,5.0,1,1,6,1,55.0,4400,3700,0,151107,CATIA 교육 신뢰성 시험 교육 교육 전산 시스템 구축 해석 추가 구축 구조 해석 성형 해석 신뢰 시험 장비 구축 자동차 부품 메커니즘 개발 자동차 판매 부진 미래 복합 랜드 개발 필요,0,0,메카트로닉스,자동차공학기술자 자동차공학기술자,0,0,0,0
18592,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,5,4,5,1,0,1,0,5,6,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,4,1,3,5,7,4,5,5,6,2,2,5,6,8,2,5,1,1,5,3.0,4.0,4,4,4.0,4.0,4.0,4.0,5,5,4,4.0,4,3,3,4,5,4,4,5,5,4,4,4,4,3,4,2,1,1,1,2,2,1,1,1,1,3,4.0,4,4,4.0,1.0,38,4.0,1,1,6,1,40.0,4300,2500,0,812301,전기철도자격증 기계조작 빅데이터 분석 연봉,0,0,기계자동차학과,철도기관차·전동차 정비원 철도기관차·전동차 정비원,1,0,0,0
18593,4,3,5,3,3,4,4,4,3,4,5,5,5,3,3,5,3,4,3,3,2,3,4,5,4,5,4,4,3,5,1,0,5,5,4,5,3,4,1,0,2,3,3,4,2,3,2,3,1,0,4,5,1,0,1,0,1,0,1,0,3,4,2,4,3,4,1,0,1,4,1,3,3,4,2,3,4,5,3,4,3,3,19,4,1,2,1,5,3.0,2.0,4,4,3.0,4.0,4.0,4.0,4,4,4,4.0,4,2,3,3,4,4,4,4,4,2,2,2,2,2,2,3,1,1,1,1,1,2,2,2,2,1,3.0,3,3,4.0,1.0,22,2.0,1,3,6,1,50.0,2000,2000,0,841101,컴퓨터 문제확인 해결 매년 신제품 때문 대응 단점 체크 테스트 장비 확인 기업 회사 업무 때문 향후 일자리 변화 없다,학생(없다),없다,특성화고 설비,컴퓨터 설치·수리원(컴퓨터A/S원) 컴퓨터 설치·수리원(컴퓨터A/S원),0,0,0,0
18594,4,5,5,4,5,5,4,5,5,5,5,4,5,4,4,4,2,2,2,2,2,2,5,7,5,7,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,2,2,1,0,1,0,1,0,3,4,1,0,1,0,2,2,4,6,4,5,1,0,2,3,1,0,1,4,1,3,5,7,1,0,1,0,4,6,1,0,9,1,1,2,2,0,3.0,2.0,3,1,1.0,2.0,3.0,3.0,3,3,3,4.0,3,2,2,2,5,5,5,5,5,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3.0,3,3,3.0,2.0,29,2.0,1,3,6,2,30.0,0,0,0,532101,패스트 문화 계속 때문,학생,0,상업,패스트푸드 준비원 패스트푸드 준비원,1,0,0,0
18595,5,5,5,5,5,5,5,4,4,5,4,4,4,5,1,2,1,0,2,2,1,0,5,2,4,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,3,3,2,1,0,1,0,1,0,1,0,3,3,3,2,1,0,1,4,1,3,1,0,1,0,2,3,2,1,1,0,13,4,1,2,2,0,3.0,2.0,4,4,4.0,4.0,4.0,2.0,3,3,3,3.0,3,1,5,4,2,2,5,2,2,4,5,4,4,4,4,4,2,1,2,2,2,2,2,1,1,3,3.0,2,2,2.0,2.0,56,2.0,2,1,6,0,63.0,0,0,3500,29303,종이 설문지 스마트폰 조사 형태 기업 마케팅 생각 때문,전업주주,0,여상,통계 사무원,0,1,1,1
18596,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,3,3,4,4,4,3,1,0,1,0,4,3,1,0,1,0,1,0,4,4,2,3,1,0,1,0,1,0,3,3,4,4,1,0,1,0,3,3,4,3,3,2,1,0,1,0,1,4,1,3,4,4,2,2,3,3,3,3,4,3,8,1,2,2,2,0,3.0,1.0,4,2,2.0,2.0,4.0,3.0,3,4,4,4.0,4,1,4,4,5,5,5,5,5,2,4,2,2,2,2,4,2,2,2,2,2,2,2,2,2,1,2.0,3,3,3.0,1.0,56,1.0,1,1,6,1,52.0,4000,1780,0,28201,기술 발달,0,0,0,도로 운송 사무원(배차사무 포함) 도로 운송 사무원(배차사무 포함),1,0,0,0
18597,2,4,4,3,4,4,4,5,4,4,4,5,4,3,2,2,1,0,1,0,1,0,3,4,4,5,1,0,3,3,1,0,1,0,1,0,1,0,1,0,2,2,2,3,1,0,1,0,1,0,2,3,3,3,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,4,1,3,1,0,1,0,1,0,1,0,1,0,9,1,2,2,1,1,1.0,2.0,3,3,3.0,4.0,2.0,3.0,3,3,3,4.0,3,3,2,2,2,2,3,2,2,3,1,2,1,1,2,4,2,2,2,2,2,2,2,2,2,3,2.0,4,5,4.0,1.0,27,2.0,1,3,6,2,35.0,1800,1800,0,532101,꼼꼼함과 고객응대법 자동 주문 시스템 정착 일자리 감소 예정,0,주방장 및 주방보조,인문계,패스트푸드 준비원 패스트푸드 준비원,0,0,0,0
18598,4,3,4,4,4,4,5,4,5,5,5,5,4,4,3,3,3,4,3,4,3,4,3,4,4,5,2,2,2,2,1,0,3,4,4,4,2,2,2,2,3,4,1,0,2,3,2,3,1,0,3,4,3,4,2,3,2,3,3,4,4,5,2,2,2,2,1,0,2,2,2,2,3,4,3,3,3,4,4,5,3,4,8,2,5,2,2,0,5.0,5.0,3,3,4.0,4.0,4.0,3.0,2,4,3,3.0,4,3,4,4,2,3,3,2,3,3,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3.0,3,4,3.0,2.0,39,4.0,1,1,6,1,40.0,3800,2700,0,28202,최소 인원 정예 인건비 업무 역량 강화 투여,0,0,산업공학과,철도·지하철 운송 사무원 철도·지하철 운송 사무원,0,0,0,0
18599,5,4,3,2,4,3,2,2,4,3,3,3,2,2,1,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,3,3,3,3,1,0,1,4,2,2,2,2,1,0,1,0,1,0,1,0,10,1,4,2,2,0,3.0,5.0,3,3,3.0,3.0,3.0,2.0,3,3,3,3.0,3,3,3,3,3,3,4,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,3.0,3,2,3.0,1.0,33,4.0,1,1,6,1,38.0,2800,2200,0,416302,공란,0,0,신문방송학,리포터 리포터,1,0,0,0
18600,3,4,3,2,3,3,2,3,3,2,3,5,3,2,2,3,1,0,2,2,1,0,2,2,2,2,2,1,2,4,1,0,3,4,2,4,3,4,1,0,2,4,2,4,2,2,2,2,2,3,2,2,1,0,1,0,2,4,2,2,2,4,2,4,2,3,2,2,2,2,2,1,2,2,2,2,2,4,2,4,2,2,17,1,2,1,2,0,5.0,4.0,3,3,2.0,4.0,3.0,3.0,3,3,3,3.0,3,2,4,4,3,5,3,4,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,5.0,3,4,4.0,2.0,45,3.0,1,1,6,1,34.0,3200,2500,0,306301,치과기공사 건강 미용 인구 증가 노령 인구 증가,0,0,치기공학,치과기공사 치과기공사,0,0,1,0
