idx,cq1,cq2,cq3,cq4,cq5,cq6,cq7,cq8,cq9,cq10,cq11,cq12,cq13,cq14,cq15,cq16,cq17,cq18,cq19,cq20,cq21,cq22,cq23,cq24,cq25,cq26,cq27,cq28,cq29,cq30,cq31,cq32,cq33,cq34,cq35,cq36,cq37,cq38,cq39,cq40,cq41,cq42,cq43,cq44,cq45,cq46,cq47,cq48,cq49,cq50_1,cq50_2,cq50_3,cq50_4,cq50_5,cq50_6,cq50_7,cq50_8,iq1,iq2,iq3,iq4,iq5,iq6,bq1,bq2,bq3,bq4,bq5,bq5_1,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13,bq14,bq15,bq16,bq17,bq18,bq19,bq20,bq21,bq25,bq25_1,bq26_1,bq26_1a,bq26_2,bq26_2a,bq26_3,bq26_3a,bq26_4,bq26_4a,bq27,bq28,bq34,bq35,bq36,bq37,bq38,bq38_1,bq38_2,bq39,bq40,bq41_1,bq41_2,bq41_3,knowcode,text_response,sim_job,bef_job,able_job,major,description,bq22,bq23,bq24,bq6_mark,bq12_2_mark,bq12_3_mark,bq12_4_mark
9496,3,1,4,5,1,3,5,5,5,3,3,4,4,4,4,5,3,1,4,1,4,1,1,2,2,1,1,2,2,2,4,1,1,5,5,3,3,2,2,1,5,4,2,2,1,4,1,1,3,1,1,1,1,1,1,1,2,2,1,1,1,4,4,13,1,2,1.0,1,2.0,3,4,3,1,1,3,4,2,3.0,3,2,3,2,1,2,1,2,1,1,1,5,100.0,1,2,1.0,2,1.0,2,1.0,2,1.0,2,2,4.0,2.0,1.0,32.0,4.0,1.0,1,0,1,60.0,2800,2400,0,140601,측량 지형정보 산업기사 측량 지형정보 기사 측량 기능사 GPS 측량 기기의 사용법 데이터 활용_토탈스테이션 사용법_CAD를 이용한 현황도 작성 현재 북한 관계 측량 지형 때문 GPS측량기기 토탈스테이션 새로운 직업은 모르겠다,0,건설기술자,측량에 관련된 모든 분야에 가능하다,토목,지적 및 측량기술자 지적 및 측량기술자,1.0,1.0,1,1,0,0,0
9497,4,1,3,1,1,5,1,4,2,1,3,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,3,1,2,1,5,1,3,4,3,3,1,4,4,5,2,1,1,1,1,5,1,1,1,1,1,1,1,1,3,2,4,3,3,1,7,4,1,1.0,2,0.0,3,4,4,4,4,4,4,4,3.0,0,0,0,3,2,2,3,1,2,3,3,3,0.0,3,0,2.0,0,2.0,0,2.0,0,2.0,0,2,3.0,2.0,2.0,43.0,3.0,2.0,0,6,0,54.0,0,0,3000,884102,프로리스트 자격증 변화 지금 비슷 원예가위 롱노즈 철사,0,경리 사무원,0,컴퓨터 응용학,플로리스트,2.0,5.0,5,0,0,0,0
9498,4,3,4,2,4,4,4,3,3,3,3,3,3,5,1,1,3,4,5,5,4,1,1,1,1,4,4,4,3,2,2,5,2,2,5,2,2,2,3,2,4,3,2,2,3,1,1,1,4,1,1,1,1,1,1,1,1,2,2,2,1,3,2,3,1,4,2.0,1,2.0,6,2,3,1,1,4,4,2,3.0,3,3,4,3,1,1,1,1,1,1,1,3,100.0,1,2,1.0,2,1.0,2,1.0,2,1.0,1,1,3.0,4.0,1.0,52.0,2.0,1.0,1,0,1,56.0,3200,2400,0,882201,제지관련 교육 생산 기계장치 없음,0,없음,없음,인문계,펄프·종이 제조장치 조작원 펄프·종이 제조장치 조작원,1.0,1.0,1,0,0,0,0
9499,5,1,5,4,2,3,1,1,2,1,1,2,2,4,3,1,3,3,2,1,3,1,1,1,1,2,2,1,3,3,1,2,2,4,4,2,2,1,2,1,2,3,3,1,1,3,1,1,3,1,1,1,1,1,1,1,1,3,3,1,1,3,4,6,1,3,1.0,2,0.0,6,5,4,4,3,5,5,4,3.0,4,4,4,4,2,1,1,2,2,2,1,3,80.0,1,2,1.0,1,1.0,1,1.0,1,1.0,1,2,3.0,2.0,1.0,35.0,4.0,1.0,1,0,1,46.0,4000,3200,0,140701,건설재료시험 기능사 건설 경기 크게 변동 계측기 시험장비 계획서,0,0,건설재료시험관련 연구소,토목환경공학,건설자재 시험원 건설자재 시험원,1.0,1.0,2,0,0,0,0
9500,4,3,4,4,3,4,4,3,4,4,4,2,3,4,3,3,3,1,2,2,1,1,1,1,1,1,1,1,4,2,2,4,1,2,1,3,4,3,4,3,4,4,4,2,3,3,1,1,3,2,3,3,3,1,1,1,1,3,3,3,3,3,3,10,1,2,2.0,1,5.0,5,5,5,5,5,5,5,5,5.0,0,5,5,5,3,2,4,1,3,3,3,3,90.0,3,0,1.0,2,1.0,2,1.0,2,1.0,1,1,3.0,3.0,1.0,27.0,4.0,1.0,1,0,0,50.0,5000,4000,0,133204,공동작업훈련 사내엔진 혹은 라이브러리 게임 산업 비젼 판단 CAD 없다,0,게임개발자,"HTML,  UNTY",전자게임,게임프로그래머 게임 프로그래머,1.0,1.0,1,0,0,0,0
9501,2,1,1,1,1,2,1,1,2,3,1,3,2,1,5,5,4,1,5,1,1,1,1,1,1,1,4,2,1,3,3,5,2,5,5,4,3,1,5,2,4,3,5,1,4,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,2.0,1,2.0,2,1,3,3,3,4,4,4,4.0,0,0,0,4,3,2,4,1,3,3,3,4,0.0,1,2,2.0,0,2.0,0,2.0,0,2.0,0,2,3.0,1.0,1.0,72.0,1.0,2.0,0,6,0,35.0,0,0,4000,904201,물때 그물 놓은 방식 어획량 특별 변화 그물 프로타,강막,"양식업,미역",0,0,어부 및 해녀 어부 및 해녀,2.0,5.0,5,0,0,0,0
9502,4,1,5,3,2,3,1,1,2,1,1,2,2,4,2,1,3,3,2,1,3,2,1,1,2,2,1,1,2,4,2,3,2,3,4,2,1,1,2,1,3,4,3,2,1,3,1,1,3,1,1,1,1,1,1,1,1,3,4,1,1,2,5,6,1,3,1.0,1,5.0,5,4,4,3,3,4,4,3,3.0,3,3,4,3,2,1,1,2,1,1,1,4,100.0,1,2,1.0,2,1.0,2,1.0,2,1.0,1,2,3.0,1.0,1.0,34.0,4.0,1.0,1,0,1,50.0,4200,3000,0,140701,건설재료시험 기능사 견본자재 검사하고 결과분석력 습득 변화 계측기 시험장비 일지,0,0,0,토목공학,건설자재 시험원 건설자재 시험원,1.0,1.0,1,0,0,0,0
9503,5,3,4,4,1,4,4,4,3,2,3,1,1,5,1,2,4,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,3,1,3,4,3,3,4,3,3,3,1,2,4,1,2,3,1,1,1,1,1,1,1,1,4,4,2,5,4,4,7,1,2,2.0,2,0.0,3,2,4,3,4,4,4,4,4.0,4,4,4,4,1,1,1,1,1,1,2,4,95.0,1,1,1.0,2,1.0,2,1.0,2,1.0,1,1,2.0,4.0,2.0,43.0,2.0,1.0,1,0,1,40.0,2400,1700,0,615301,화로 컴퓨터,0,판매업,0,문과,온라인 판매원 온라인 판매원,1.0,1.0,1,1,0,0,0
9504,4,4,4,4,4,3,3,2,2,2,1,1,3,4,3,3,3,1,2,1,1,1,1,1,1,1,1,1,4,2,2,1,1,2,3,3,4,3,2,4,2,2,2,2,1,5,1,1,4,1,2,3,1,1,1,1,1,4,2,2,3,4,3,11,1,6,1.0,2,0.0,3,5,3,3,3,4,4,4,4.0,4,3,4,4,1,1,1,2,1,1,1,4,100.0,1,2,1.0,2,1.0,2,1.0,2,1.0,1,2,4.0,4.0,1.0,50.0,4.0,1.0,1,0,1,52.0,8000,2800,0,31402,선물거래 중개사 선물거래 고객 증가 PC,0,0,0,경영학,선물거래중개인,1.0,1.0,1,0,0,0,0
9505,5,1,3,1,1,5,3,5,2,3,2,2,1,5,1,1,5,1,1,1,1,1,1,4,1,1,1,1,2,5,1,2,3,5,5,2,2,2,1,2,3,4,1,2,1,1,1,1,4,1,2,1,1,1,1,1,1,4,2,1,5,2,2,17,4,2,1.0,2,0.0,4,4,4,3,3,2,3,3,3.0,1,3,4,3,1,1,1,2,1,1,1,3,100.0,1,2,1.0,2,1.0,2,1.0,2,3.0,0,2,3.0,1.0,2.0,29.0,3.0,1.0,1,0,1,44.0,2900,2200,0,306401,치과위생사 취업 한계 변화 셕션 고객진료차트,0,0,0,치위생학,치과위생사 치과위생사,1.0,1.0,1,0,0,0,0
9506,4,3,4,4,4,5,4,4,4,5,5,3,2,4,1,1,4,3,2,2,2,4,2,2,1,1,3,1,4,2,2,3,2,2,4,5,4,4,4,3,5,4,3,2,2,2,1,1,3,2,2,2,1,2,1,1,1,4,4,2,5,3,3,17,5,6,1.0,1,6.0,6,6,5,5,5,3,4,2,4.0,4,4,4,4,2,1,1,2,1,1,1,4,100.0,1,2,1.0,2,1.0,2,1.0,2,1.0,1,2,2.0,2.0,1.0,49.0,6.0,1.0,1,0,1,40.0,18000,7500,0,301102,의사면허증 외과전문의 수술 로봇 발달 인구 감소 CT MRI 수술도구 컴퓨터 차트 혈관조영검사 없음,선생님 교수,없음,교수,신경외,외과의사 외과의사,1.0,1.0,1,0,0,0,0
9507,5,1,5,4,1,4,5,1,4,2,3,1,1,5,3,1,3,1,1,5,1,1,1,1,1,1,1,1,4,2,2,2,2,5,1,5,4,4,1,3,4,3,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,4,4,3,4,3,10,3,4,2.0,2,0.0,3,5,3,3,3,3,4,3,3.0,3,5,4,4,1,1,1,2,1,1,1,3,100.0,1,2,1.0,2,1.0,2,1.0,2,1.0,1,2,3.0,1.0,1.0,43.0,4.0,1.0,1,0,1,40.0,4600,2400,0,416501,변화 녹음기 편집기,녹음 기사,0,0,방송영상,음향·녹음 기사 음향·녹음 기사,1.0,1.0,1,0,0,0,0
9508,4,3,3,5,5,2,3,3,3,3,3,3,3,5,2,3,3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,1,2,3,1,2,2,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,18,3,1,2.0,2,0.0,5,5,3,3,3,3,3,3,3.0,3,3,3,3,2,1,1,2,1,1,1,3,100.0,1,2,3.0,0,3.0,0,3.0,0,3.0,0,1,2.0,3.0,1.0,28.0,4.0,1.0,1,0,1,45.0,2500,2200,0,415101,국내 제조업 축소 산업혁명 인공 지능 디자인 라이노 어도비 포토샵 어도비 일러스트,산업 디자이너,0,시각디자이너,산업디자인,제품 디자이너 제품 디자이너,3.0,1.0,1,0,0,0,0
9509,5,1,4,1,1,4,4,1,4,1,1,1,2,1,5,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,5,4,4,4,4,1,4,4,4,5,5,5,2,1,4,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,4,1,2.0,2,0.0,1,1,4,3,3,4,4,2,5.0,5,5,0,5,3,2,4,1,3,3,1,5,0.0,2,0,2.0,0,2.0,0,2.0,0,2.0,0,2,2.0,3.0,2.0,60.0,1.0,2.0,0,6,0,40.0,0,0,2000,904201,바다 오염 망태 광주리 그물,0,농사,0,0,어부 및 해녀 어부 및 해녀,3.0,5.0,5,0,0,0,0
9510,4,3,5,5,4,5,4,3,2,2,3,2,3,4,4,3,4,2,2,1,1,1,1,1,1,2,2,2,4,2,1,2,1,2,2,4,3,2,1,2,2,2,3,2,2,1,1,1,2,1,1,1,1,1,1,1,1,5,4,3,3,2,3,4,1,3,1.0,2,0.0,2,3,3,4,3,3,3,3,3.0,3,4,3,3,1,1,1,2,1,1,1,1,70.0,1,2,1.0,2,1.0,2,1.0,2,1.0,1,2,2.0,2.0,1.0,45.0,4.0,1.0,1,0,1,45.0,4500,2800,0,153104,전기기사 전력 공급 안정화 수요 변동 전력시스템 컴퓨터,0,0,0,전자,송·배전설비 기술자 송·배전설비 기술자,1.0,1.0,1,0,0,0,0
9511,5,1,5,5,4,5,4,4,3,3,2,4,2,5,1,1,4,1,1,1,1,1,4,5,1,1,2,4,5,2,1,3,1,5,4,4,4,4,4,3,4,3,4,3,1,3,1,1,3,1,1,1,1,2,1,1,1,4,4,3,5,4,2,17,1,5,1.0,2,0.0,6,5,4,5,4,4,4,4,4.0,3,3,4,4,2,1,1,2,1,1,1,2,100.0,1,2,1.0,2,1.0,2,1.0,2,1.0,1,2,4.0,2.0,2.0,39.0,5.0,1.0,1,0,1,42.0,10000,7500,0,301102,의사면허증 전문의취득 고령화 의료 서비스 계속 고객의료 진료기록지 청진기,0,0,0,의학과,외과의사 외과의사,1.0,1.0,1,0,0,0,0
9512,2,1,3,3,4,3,1,4,1,3,2,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,2,5,2,1,5,4,3,3,3,3,2,5,2,1,4,1,1,4,1,2,1,1,1,1,2,1,3,5,2,3,3,4,7,4,1,1.0,2,0.0,3,7,4,4,4,4,4,4,4.0,0,0,4,4,3,1,1,1,3,3,3,3,0.0,3,0,2.0,0,2.0,0,2.0,0,2.0,0,2,4.0,3.0,1.0,57.0,4.0,2.0,0,5,0,70.0,0,0,7400,303001,약사면허증 인구 고령화 건강 관련 분야 일자리 처방전,0,0,0,약학,약사 약사,2.0,3.0,4,1,0,0,0
9513,4,3,3,4,1,2,3,1,3,3,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,2,2,2,1,1,1,4,1,3,2,1,1,1,1,3,2,1,1,1,1,1,1,1,3,5,3,2,1,1,13,2,2,2.0,2,0.0,6,6,3,4,4,4,4,4,3.0,3,3,3,3,3,2,1,1,3,1,1,3,70.0,1,2,1.0,2,1.0,2,1.0,2,1.0,2,2,3.0,3.0,1.0,38.0,5.0,1.0,2,0,2,40.0,6000,3000,0,121101,수요 공급 평형 상태 컴퓨터 매쓰매티카 라텍스 없음,0,연구보조원,없음,물리학,물리학연구원 물리학연구원,1.0,1.0,2,0,0,0,0
9514,5,1,4,3,1,5,5,2,5,2,4,2,1,5,1,5,3,5,1,1,5,1,5,1,1,1,5,4,2,5,1,3,3,5,5,4,4,3,1,3,4,4,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,4,4,3,1,2,2.0,2,0.0,2,2,2,1,1,3,3,1,3.0,0,0,4,4,1,2,1,2,1,1,1,2,0.0,1,2,2.0,0,2.0,0,1.0,1,1.0,1,2,3.0,1.0,1.0,59.0,2.0,1.0,1,0,1,48.0,5000,0,0,883201,변화 절단기 밴딩기 드릴,0,0,0,기계,가구 조립원 가구조립 및 검사원,2.0,5.0,1,0,0,0,0
9515,5,1,5,2,2,4,1,3,1,1,1,1,2,5,1,1,3,1,1,1,1,1,1,5,1,5,1,1,5,2,1,3,2,3,1,3,3,3,3,1,4,4,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,4,2,2,17,1,3,1.0,2,0.0,1,5,4,4,4,4,4,4,3.0,3,4,4,4,2,1,1,1,1,1,1,2,90.0,1,1,1.0,2,1.0,2,1.0,2,1.0,2,2,4.0,2.0,1.0,35.0,4.0,1.0,1,0,1,48.0,3900,2600,0,306201,방사선사 자격증 직종 방사선장비,0,0,0,방사선,방사선사 방사선사,1.0,1.0,1,0,0,0,0
9516,5,4,5,4,4,4,4,2,4,4,4,4,5,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,2,1,4,4,4,2,1,5,1,3,4,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,4,15,2,6,2.0,1,2.0,4,2,5,4,4,2,3,4,4.0,3,3,4,4,1,1,1,2,1,1,1,1,100.0,1,2,2.0,0,1.0,2,2.0,0,2.0,0,2,3.0,4.0,1.0,56.0,4.0,1.0,1,0,1,40.0,7600,4800,0,21001,직무교육 행정구역 변화 크게 PC 필기구,0,공무원(5급),0,행정학,정부·공공 행정 전문가 정부·공공 행정 전문가,1.0,1.0,1,0,0,0,0
9517,5,3,5,5,4,4,4,4,2,2,3,3,3,5,2,2,3,4,2,2,5,5,1,1,2,2,1,1,5,1,1,2,5,5,1,3,4,3,3,1,2,4,3,3,1,3,1,2,2,1,1,1,1,1,1,1,1,4,5,2,5,3,1,8,1,6,2.0,2,0.0,4,5,3,3,3,4,5,3,3.0,0,0,0,4,1,2,1,2,3,1,1,2,90.0,1,2,3.0,0,3.0,0,3.0,0,3.0,0,2,2.0,1.0,2.0,28.0,4.0,1.0,1,0,1,45.0,3500,2800,0,28203,근무 장소 진입 운송시스템,계약 담당자,0,0,중국학,항공 운송 사무원 항공 운송 사무원,3.0,1.0,5,0,0,0,0
9518,5,5,5,5,5,4,4,4,4,2,2,2,2,4,3,1,3,3,3,1,1,1,1,1,1,2,2,2,2,4,2,3,3,3,4,3,4,3,3,2,3,3,3,1,2,5,1,1,4,1,1,1,1,1,1,1,1,3,3,2,2,2,3,6,1,3,1.0,2,0.0,2,4,3,3,3,4,4,3,3.0,3,4,4,4,3,1,1,1,1,1,2,3,100.0,1,1,1.0,2,1.0,2,1.0,2,1.0,1,2,2.0,2.0,1.0,58.0,4.0,1.0,1,0,1,45.0,6000,5000,0,140304,토목기사1급 측지기사1급 건설 발주 감소 PC,리사,회사원,0,토목공학,토목감리 기술자 토목감리 기술자,1.0,1.0,1,0,0,0,0
9519,4,3,4,4,4,4,4,4,4,5,5,2,2,4,1,1,4,3,2,4,4,4,3,4,1,4,4,4,4,2,2,3,2,2,4,5,4,4,4,4,4,4,4,2,3,3,1,1,3,2,2,2,1,2,1,1,1,5,5,4,4,5,4,17,5,6,1.0,1,6.0,6,6,5,5,5,4,4,2,4.0,4,4,4,4,1,1,1,2,1,1,1,4,100.0,1,2,1.0,2,1.0,2,1.0,2,1.0,1,2,3.0,2.0,1.0,44.0,6.0,1.0,1,0,1,40.0,12000,7500,0,301102,의사면허증 외과전문의 수술 인구 고령화 수술도구 MRI CT 컴퓨터 없음,교수 선생님,없음,교수,신경외과,외과의사 외과의사,1.0,1.0,1,0,0,0,0
9520,5,1,1,1,5,2,1,1,3,3,3,1,1,5,1,5,1,5,5,1,4,1,5,1,4,5,5,5,1,4,3,1,3,5,5,5,1,1,3,3,3,1,3,1,3,5,1,1,4,1,1,1,1,3,1,1,1,5,1,1,1,1,1,3,1,3,2.0,2,0.0,5,2,1,1,1,4,2,1,5.0,3,2,5,4,1,1,1,2,1,1,1,5,60.0,1,2,1.0,2,1.0,2,1.0,2,1.0,1,2,2.0,2.0,1.0,23.0,2.0,1.0,1,0,1,56.0,3800,3000,0,852201,자동화 배합기 없음,0,학생,없음,산업플랜트,플라스틱제품 생산기계 조작원 플라스틱제품 생산기계 조작원,1.0,1.0,1,0,0,0,0
9521,5,2,5,4,1,5,5,5,5,4,5,3,3,5,2,1,3,1,1,1,1,1,1,5,1,1,1,2,4,2,2,3,1,4,1,5,4,5,4,2,5,4,5,3,4,4,1,1,1,1,1,1,1,1,1,1,1,3,4,5,3,3,3,17,4,2,1.0,1,4.0,4,5,5,4,4,4,4,3,5.0,4,4,4,5,3,2,1,1,1,1,1,4,100.0,1,2,1.0,2,1.0,2,1.0,2,1.0,2,2,2.0,3.0,2.0,28.0,5.0,1.0,1,0,1,40.0,5000,3500,0,301103,의사전문 자격증 의사면허증 실무교육 인구 감소 주사기,0,0,0,의학,성형외과의사 성형외과의사,1.0,1.0,1,0,0,0,0
